sign,tokens,coverage,precision,decomposes,n_parts,parts
133,4,0.963,0.980,True,2,065@1.0 + 010m@0.4
530,36,0.963,0.748,True,2,200m@1.0 + 607@0.65
589,2,0.963,0.585,False,2,020m@1.0 + 002@1.0
664,4,0.962,0.821,True,2,020m@1.0 + 059@0.4
383,6,0.962,0.976,True,2,380@1.0 + 067m@0.65
452,1,0.962,0.611,False,2,025@1.0 + 430m@0.65
231,1,0.961,0.952,True,2,205@1.0 + 010@0.5
486,1,0.961,0.772,True,3,430m@1.0 + 069m@0.8 + 059m@0.5
193,2,0.961,0.752,True,2,400@1.0 + 306@0.65
131,1,0.961,0.882,True,2,200@0.8 + 430@0.4
752,5,0.961,0.641,False,2,755@1.0 + 095m@1.0
192,1,0.961,0.678,False,2,290@1.0 + 093@1.0
542,1,0.961,0.626,False,2,205m@1.0 + 002@0.8
321,4,0.961,0.891,True,2,205@1.0 + 430@0.4
244,16,0.960,0.760,True,2,306@1.0 + 430m@0.8
115,2,0.960,0.892,True,2,001@1.0 + 040m@0.4
616,1,0.960,0.716,True,2,600@1.0 + 430@1.0
537,3,0.960,0.907,True,2,607@0.4 + 076m@0.5
158,1,0.959,0.915,True,1,050@1.0
311,3,0.959,0.894,True,2,205@1.0 + 063@0.5
651,1,0.958,0.661,False,2,430@1.0 + 002@0.8
513,2,0.958,0.725,True,2,205m@1.0 + 430m@0.8
442,1,0.958,0.757,True,1,381@1.0
506,3,0.958,0.632,False,2,430m@1.0 + 021@0.65
032,5,0.958,0.754,True,1,006@1.0
525,1,0.957,0.820,True,2,070m@1.0 + 040@0.8
230,4,0.957,0.979,True,1,200@1.0
017,23,0.957,0.776,True,1,700m@1.0
510,11,0.957,0.860,True,2,200m@1.0 + 430@0.65
661,2,0.957,0.919,True,2,607m@0.8 + 006m@0.65
533,3,0.957,0.623,False,2,254@0.8 + 430@1.0
174,2,0.956,0.751,True,2,381@1.0 + 200m@0.8
494,1,0.956,0.617,False,2,254m@1.0 + 430@1.0
291,12,0.956,1.000,True,1,290@1.0
075,4,0.956,0.863,True,2,004@1.0 + 004@0.5
298,7,0.956,0.654,False,2,600m@1.0 + 400m@1.0
531,2,0.956,0.769,True,2,430@1.0 + 059@0.5
660,27,0.956,0.858,True,2,607@1.0 + 063@0.8
770,20,0.955,0.604,False,2,020m@1.0 + 430m@1.0
519,1,0.955,0.732,True,2,095@1.0 + 002m@0.65
505,2,0.955,0.913,True,1,205@1.0
132,3,0.955,0.906,True,2,065@1.0 + 053m@0.4
624,3,0.955,0.746,True,2,254m@1.0 + 607@0.5
252,2,0.955,0.987,True,1,254m@1.0
234,1,0.954,0.970,True,2,290m@1.0 + 430m@0.4
698,2,0.954,0.705,True,2,607@1.0 + 670@0.8
156,1,0.954,0.896,True,1,050@1.0
626,2,0.954,0.850,True,2,306@1.0 + 076m@0.8
776,4,0.954,0.690,False,2,430@1.0 + 254m@0.65
540,7,0.954,0.772,True,2,205@1.0 + 021m@0.65
673,2,0.954,0.943,True,2,670@1.0 + 011m@0.4
159,2,0.954,0.940,True,1,050@1.0
552,1,0.954,0.680,False,2,205@1.0 + 670m@0.8
465,2,0.953,0.756,True,2,205@1.0 + 021m@0.5
630,25,0.953,0.925,True,2,091m@0.65 + 040m@0.4
256,21,0.953,0.992,True,1,254@1.0
294,4,0.953,0.926,True,1,306@1.0
737,3,0.953,0.712,True,2,600m@1.0 + 290m@0.65
068,22,0.953,0.809,True,2,053m@1.0 + 006m@0.5
253,3,0.952,0.964,True,1,254@1.0
247,1,0.952,0.812,True,2,607@1.0 + 071m@0.5
296,2,0.952,0.944,True,1,306@1.0
493,9,0.952,0.877,True,2,020@1.0 + 067@0.5
164,2,0.952,0.816,True,1,070@1.0
534,4,0.951,0.823,True,2,430@1.0 + 700@0.5
578,2,0.951,0.757,True,2,607@0.8 + 254@0.8
501,2,0.951,0.886,True,2,205@1.0 + 063@0.4
325,6,0.951,0.896,True,2,205@1.0 + 380@0.4
637,1,0.951,0.776,True,2,600@1.0 + 670m@0.65
735,3,0.951,0.792,True,2,205@1.0 + 063m@0.8
392,1,0.951,0.873,True,2,020m@0.8 + 430@0.4
143,1,0.950,0.908,True,2,027m@0.8 + 306@0.4
469,2,0.950,0.862,True,2,430m@0.8 + 093@0.4
030,16,0.950,0.688,False,2,022m@1.0 + 065@1.0
331,1,0.950,0.933,True,2,300@1.0 + 700m@0.4
275,3,0.950,0.660,False,2,205@1.0 + 254@0.8
204,27,0.949,0.970,True,1,306@1.0
