sign,nn1,s1,nn2,s2,nn3,s3
240,299,0.418,298,0.403,340,0.403
242,284,0.426,393,0.420,275,0.407
243,244,0.452,246,0.434,293,0.421
244,243,0.452,246,0.443,286,0.427
245,341,0.431,247,0.411,242,0.405
246,244,0.443,243,0.434,344,0.431
247,248,0.412,245,0.411,763,0.399
248,299,0.415,247,0.412,341,0.384
252,255,0.431,254,0.424,256,0.422
253,254,0.456,256,0.440,354,0.439
254,253,0.456,354,0.446,256,0.443
255,252,0.431,760,0.408,245,0.404
256,254,0.443,356,0.440,253,0.440
260,281,0.417,200,0.414,280,0.412
262,284,0.437,263,0.416,206,0.415
263,266,0.451,293,0.443,294,0.429
266,263,0.451,296,0.442,276,0.436
270,230,0.427,390,0.411,290,0.411
274,282,0.367,284,0.365,726,0.362
275,285,0.435,225,0.429,235,0.427
276,296,0.436,266,0.436,286,0.432
277,618,0.410,247,0.391,691,0.389
279,371,0.422,275,0.403,375,0.393
280,281,0.446,200,0.418,260,0.412
281,280,0.446,200,0.421,260,0.417
282,284,0.442,203,0.426,206,0.423
284,282,0.442,262,0.437,206,0.436
285,235,0.453,393,0.439,275,0.435
286,296,0.454,294,0.436,696,0.435
290,291,0.447,390,0.415,530,0.414
291,290,0.447,192,0.408,220,0.403
292,204,0.445,206,0.443,293,0.441
293,294,0.457,263,0.443,292,0.441
294,293,0.457,526,0.445,292,0.441
295,395,0.424,401,0.404,301,0.404
296,286,0.454,396,0.451,576,0.450
298,616,0.408,299,0.404,240,0.403
299,240,0.418,248,0.415,763,0.412
300,200,0.450,590,0.433,520,0.431
301,305,0.434,335,0.427,205,0.425
302,201,0.435,203,0.430,504,0.430
303,306,0.447,204,0.432,206,0.431
304,336,0.434,293,0.429,204,0.427
305,505,0.448,205,0.444,301,0.434
306,206,0.450,303,0.447,204,0.445
307,407,0.429,207,0.418,597,0.414
308,309,0.396,226,0.390,366,0.378
309,308,0.396,179,0.359,464,0.358
311,315,0.460,231,0.444,501,0.434
314,212,0.447,216,0.443,211,0.419
315,311,0.460,231,0.432,215,0.431
316,748,0.434,356,0.432,646,0.427
320,220,0.438,502,0.423,191,0.422
321,324,0.436,222,0.425,225,0.422
322,324,0.439,583,0.423,302,0.422
323,224,0.428,293,0.420,303,0.420
324,322,0.439,321,0.436,222,0.435
325,583,0.455,225,0.432,322,0.420
326,336,0.455,180,0.429,576,0.426
330,590,0.437,300,0.422,570,0.421
