a,b,c,count
040,040,040,12
300,004,022,10
002,002,002,9
700,700,700,7
041,670,008,7
020,080,004,6
378,041,670,6
040,300,004,6
004,022,203,6
390,378,041,5
010,760,040,5
65,65,65,4
005,005,005,4
048,048,048,4
330,330,330,4
040,390,378,4
124,098,007,4
090,090,090,4
660,081,004,4
440,440,440,3
020,020,080,3
001,007,067,3
007,067,067,3
040,040,390,3
300,300,004,3
300,300,300,3
040,040,300,3
090,090,070,3
