sign,tokens,syllable
001,432,i
002,361,a
004,291,ra
600,233,u
022,219,ta
700,215,e
200,188,na
005,160,ma
006,150,o
090,133,ne
040,123,ru
430,119,hi
007,114,to
380,109,te
070,98,pe
280,94,ho
050,89,ri
020,89,re
300,87,pa
670,87,ha
071,82,ti
076,82,pi
008,79,tu
073,74,ka
011,73,mi
522,71,ro
048,70,pu
010,69,he
003,66,va
009,61,ni
053,60,nu
381,60,ko
027,58,ve
400,57,no
091,57,mo
755,56,vi
059,56,me
060,55,po
205,55,hu
306,54,mu
