word,count,syllables,reduplicated
humu,2,2,False
rui,2,2,False
oioi,2,4,True
hainge,2,3,False
ruanuku,2,4,False
honui,2,3,False
miru,2,2,False
timo,1,2,False
kakaha,1,3,False
piki,1,2,False
roria,1,3,False
aruki,1,3,False
matang,1,2,False
eiri,1,3,False
rori,1,2,False
mahoi,1,3,False
tha,1,1,False
hakavirri,1,4,False
rurenga,1,3,False
tahri,1,2,False
mimi,1,2,True
kina,1,2,False
kan,1,1,False
maka,1,2,False
reva,1,2,False
atea,1,3,False
matuku,1,3,False
atarungi,1,4,False
hoato,1,3,False
houa,1,3,False
hura,1,2,False
matini,1,3,False
tamaru,1,3,False
ama,1,2,False
tavake,1,3,False
tunmakeuka,1,5,False
tantan,1,2,True
kurae,1,3,False
paini,1,3,False
kari,1,2,False
marai,1,3,False
matairi,1,4,False
irira,1,3,False
kiri,1,2,False
hakairi,1,4,False
uira,1,3,False
kapainga,1,4,False
mare,1,2,False
hapai,1,3,False
topa,1,2,False
tapo,1,2,False
hun,1,1,False
arua,1,3,False
haath,1,2,False
otae,1,3,False
noa,1,2,False
munniri,1,3,False
hiru,1,2,False
takiri,1,3,False
kake,1,2,False
ake,1,2,False
atara,1,3,False
hopua,1,3,False
hei,1,2,False
tieuituiri,1,7,False
matangie,1,4,False
ria,1,2,False
mangaro,1,3,False
tahake,1,3,False
ohu,1,2,False
tutuhinga,1,4,False
tanku,1,2,False
mato,1,2,False
kapi,1,2,False
hetun,1,2,False
tan,1,1,False
aranga,1,3,False
maruaua,1,5,False
heire,1,3,False
mahahine,1,4,False
mauaira,1,5,False
taake,1,3,False
tuhinga,1,3,False
avanga,1,3,False
hahinie,1,4,False
tune,1,2,False
katau,1,3,False
piapiri,1,4,False
ri,1,1,False
maraioturi,1,6,False
kakapurae,1,5,False
kahakpiri,1,4,False
kaho,1,2,False
notake,1,3,False
mate,1,2,False
aa,1,2,False
onote,1,3,False
hahiue,1,4,False
mananatake,1,5,False
niramai,1,4,False
umika,1,3,False
hainu,1,3,False
tokotokona,1,5,False
nate,1,2,False
ek,1,1,False
hopu,1,2,False
aiae,1,4,False
kore,1,2,False
kaukau,1,4,True
haharua,1,4,False
kapa,1,2,False
heuna,1,3,False
hou,1,2,False
mataheune,1,5,False
arapeka,1,4,False
keho,1,2,False
aura,1,3,False
hiti,1,2,False
apauoko,1,5,False
hue,1,2,False
