segment,length,head_signs
326,3,430 006 040
327,3,002 240 382
328,4,076 053 472 021
329,2,386 001
330,3,150 001 526
331,3,383 280 472
332,3,790 445 027
333,3,061 193 006
334,1,406
335,1,076
336,3,755 090 090
337,3,720 070 091
338,3,430 053 600
339,3,090 057 240
340,3,059 001 176
341,8,504 430 060 379 064 379 064 002
342,3,048 019 440
343,2,741 009
344,7,076 304 006 070 024 631 048
345,3,690 670 206
346,6,383 280 700 224 600 069
347,2,047 024
348,3,021 760 048
349,2,004 006
350,2,430 769
351,3,381 734 503
352,3,381 006 070
353,3,023 760 571
354,3,005 600 090
355,3,700 726 499
356,2,200 420
357,3,700 726 130
358,3,430 774 144
359,3,001 760 306
360,3,606 026 600
361,2,200 530
362,2,320 022
363,3,074 053 050
364,3,700 700 746
365,3,600 211 049
366,3,280 376 376
367,3,023 760 386
368,2,700 571
369,2,075 191
370,1,076
371,3,049 179 598
372,3,430 005 090
373,2,073 720
374,3,020 700 071
375,4,700 006 700 208
376,2,430 001
377,1,076
378,2,280 340
379,3,600 061 600
380,3,059 781 503
381,2,430 005
382,2,076 090
383,2,700 021
384,3,451 006 208
385,3,090 072 205
386,1,090
387,3,029 048 700
388,3,073 075 720
389,3,059 400 280
390,3,379 200 059
391,3,280 391 002
392,3,200 445 499
393,3,049 509 600
394,2,430 168
395,1,076
396,4,059 532 204 048
397,1,076
398,5,430 021 326 276 200
399,4,076 021 506 205
400,3,700 066 029
401,3,582 207 060
402,3,002 184 006
403,3,396 736 356
404,3,306 161 470
405,3,001 530 002
406,3,736 532 314
407,3,526 320 376
408,6,021 001 381 755 406 290
409,3,386 189 002
410,3,095 155 500
411,3,205 700 670
412,3,195 002 700
413,3,386 053 700
414,3,466 600 517
415,3,065 600 276
416,3,040 534 600
417,3,386 600 591
418,2,081 386
419,4,305 043 300 385
420,2,204 254
421,3,499 539 205
422,2,074 530
423,3,326 600 510
424,2,092 522
425,5,010 079 004 680 001
426,3,306 305 306
427,2,540 510
428,3,002 600 776
429,2,002 326
430,4,004 021 291 020
431,6,010 047 063 522 760 290
432,3,206 510 092
433,3,202 726 002
434,3,001 200 726
435,3,571 005 023
436,2,092 090
437,3,053 020 019
438,3,099 071 513
439,3,001 069 051
440,3,547 670 055
441,3,440 071 090
442,1,047
443,2,076 290
444,1,071
445,3,406 011 200
446,3,071 010 029
447,3,633 011 090
448,3,090 530 090
449,3,090 011 130
450,5,693 529 090 023 050
451,3,606 071 290
452,3,076 071 607
453,2,208 090
454,3,305 071 009
455,2,008 049
456,3,606 700 008
457,4,090 020 600 379
458,2,001 029
459,3,700 011 091
460,3,430 200 380
461,3,002 055 209
462,2,076 209
463,2,076 600
464,3,633 690 150
465,5,202 006 055 760 036
466,2,026 055
467,4,006 073 050 050
468,3,055 536 006
469,2,011 670
470,3,430 006 382
471,4,090 300 070 099
472,2,606 406
473,4,064 055 280 065
474,2,591 011
475,1,076
476,4,021 021 020 069
477,6,071 126 161 150 005 619
478,3,430 055 168
479,3,072 011 073
480,2,027 002
481,3,009 071 002
482,1,536
483,1,020
484,3,007 071 700
485,4,430 022 530 062
486,3,726 011 386
487,3,090 013 755
488,3,072 010 006
489,4,076 600 071 049
490,3,280 023 400
491,3,070 020 073
492,7,076 071 700 128 071 530 700
493,3,730 071 729
494,3,073 381 700
495,3,090 005 084
496,5,600 071 021 090 600
497,2,604 070
498,1,076
499,3,670 532 040
500,3,700 071 670
501,3,009 727 008
502,3,090 255 067
503,3,606 070 027
504,2,090 700
505,1,076
506,1,006
507,1,071
508,2,090 071
509,1,076
510,2,430 001
511,1,076
512,1,076
513,6,002 055 072 161 071 498
514,3,430 049 400
515,3,294 006 010
516,4,099 530 600 021
517,3,006 537 001
518,5,696 013 504 070 026
519,4,386 590 724 724
520,6,090 530 499 178 291 499
521,3,027 386 440
522,3,606 011 082
523,2,386 531
524,3,072 006 600
525,4,376 211 048 048
526,3,633 690 700
527,3,400 012 700
528,3,076 017 600
529,3,071 175 600
530,3,090 011 400
531,2,600 384
532,1,076
533,3,430 049 400
534,3,027 006 020
535,3,207 380 027
536,2,028 011
537,1,076
538,3,071 010 053
539,3,002 006 499
540,3,107 010 400
541,2,090 070
542,3,073 011 090
543,3,090 071 600
544,3,053 020 050
545,5,071 011 001 005 006
546,3,596 726 400
547,6,070 020 070 128 200 700
548,3,071 071 090
549,3,090 070 205
550,7,430 010 090 700 021 066 400
551,3,071 072 161
552,3,007 536 700
553,2,430 006
554,3,071 011 020
555,3,045 055 600
