sign,tokens,syllable
001,432,a
002,361,i
004,291,te
600,233,ta
022,219,ha
700,215,ka
200,188,e
005,160,ki
006,150,ra
090,133,na
040,123,pa
430,119,o
007,114,ma
380,109,no
070,98,ko
280,94,tu
050,89,he
020,89,ti
300,87,ri
670,87,hu
071,82,u
076,82,to
008,79,nga
073,74,re
011,73,mo
522,71,va
048,70,ku
010,69,ho
003,66,me
009,61,po
053,60,ro
381,60,pu
027,58,ngi
400,57,ne
091,57,ru
755,56,ke
059,56,nu
060,55,pe
205,55,ni
306,54,hi
