headword,syllables,source,gloss
rei,2,Churchill/Roussel,"kauaha,  fin."
kauiui,5,Churchill/Roussel,"to  mend,  to  patch."
kaukau,4,Churchill/Roussel,"tai  kaukau,  tide."
kauvae,4,Churchill/Roussel,chin  (kauae)  (kavai  chinbeard  Q).
kava,2,Churchill/Roussel,"bitter,  salt."
hakakava,4,Churchill/Roussel,to  embalm.
kavakava,4,Churchill/Roussel,"acid,    sharp,    bitter,    salt,"
akavakava,5,Churchill/Roussel,to  make  sharp.
hakakavakava,6,Churchill/Roussel,to  make  acid.
kavahia,4,Churchill/Roussel,"comfort,  comfortable,  to  feast."
hakakavahia,6,Churchill/Roussel,"comfort,  comfortable."
moi,2,Churchill/Roussel,"kavakava,  a  house  god  Q.  (vSee"
kavava,3,Churchill/Roussel,to  fight  TQ.
kave,2,Churchill/Roussel,"ekave,  fish  snood  T."
kavei,3,Churchill/Roussel,stem  of  fruit.
kaviri,3,Churchill/Roussel,"to  envelop,  to  wrap."
hakake,3,Churchill/Roussel,"feint,  stratagem,  to  feign."
tnaori,3,Churchill/Roussel,"ke  avai,  skilful,  handy."
keekee,4,Churchill/Roussel,"niJw  keekee,  long  protruding  teeth."
kehokeho,4,Churchill/Roussel,"dry,  arid."
kekeho,3,Churchill/Roussel,"to  clot,  to  curdle,  to  coagulate."
toto,2,Churchill/Roussel,"kekeho,  clotted  blood."
kekehu,3,Churchill/Roussel,shoulder  Q.
kekekeke,4,Churchill/Roussel,"to  crackle,  to  snap."
kekeohe,4,Churchill/Roussel,leek  T.
kekeri,3,Churchill/Roussel,a  squall.
kekeune,4,Churchill/Roussel,upper  arm  Q.
kenu,2,Churchill/Roussel,husband.
keo,2,Churchill/Roussel,"stomach,  dyspeptic,  consumptive."
mamae,3,Churchill/Roussel,"keo,  headache."
kere,2,Churchill/Roussel,"to  moor,  to  make  fast."
kerekere,4,Churchill/Roussel,"black,  dark,  blue,  obscure,  gloom."
hakakerekere,6,Churchill/Roussel,to  blacken.
kerepei,4,Churchill/Roussel,alone  deal  with  earth.     In  Nuclear
kereki,3,Churchill/Roussel,nauseated.
kerereki,4,Churchill/Roussel,"to  relieve  the  stomach,  nau-"
keri,2,Churchill/Roussel,"to  dig,  to  grub  up,  to  root  up,  to  exca-"
kerikeri,4,Churchill/Roussel,to  scratch.
keriti,3,Churchill/Roussel,"to  attract,  brusque."
kero,2,Churchill/Roussel,"to  crease,  to  fold,"
ketu,2,Churchill/Roussel,"to  bound,  to  climb  over,  to  leap,  to"
ketuketu,4,Churchill/Roussel,to  spread  out.
keukeu,4,Churchill/Roussel,"affair,  movement,  to  move."
keva,2,Churchill/Roussel,one-eyed.
kekeva,3,Churchill/Roussel,to  sleep  with  the  eyes  open.
hakakeva,4,Churchill/Roussel,"to  wink,  to  point,  to  aim."
kevakeva,4,Churchill/Roussel,"agony,  death  throe."
kevare,3,Churchill/Roussel,horse  (cheval).
kiakia,4,Churchill/Roussel,"dove,  gull  T."
kiata,3,Churchill/Roussel,ginger.
kie,2,Churchill/Roussel,"ochre,  vermilion."
kihikihi,4,Churchill/Roussel,"lichen  T,  stone  T."
kii,2,Churchill/Roussel,moonlight.
kimatiko,4,Churchill/Roussel,schism.
kimikimi,4,Churchill/Roussel,"to  seek,  to  search,  to  inquire,  to"
kina,2,Churchill/Roussel,"more,  in  a  high  degree."
kino,2,Churchill/Roussel,"a  skin  eruption,  verruga,  blotched"
kio,2,Churchill/Roussel,stick  wherewith  to  rake  things  into  a
hakakio,4,Churchill/Roussel,"to  enslave,  to  reduce  to  sub-"
kioa,3,Churchill/Roussel,id.
kiokio,4,Churchill/Roussel,foul  smelling  smoke.
kiore,3,Churchill/Roussel,"rat,  mouse  (kioe)."
kirato,3,Churchill/Roussel,goddess  T.
kireira,4,Churchill/Roussel,"yet,  already."
kikiri,3,Churchill/Roussel,pebble.
kirikirimiro,6,Churchill/Roussel,"ragi  kirikirimtro,  sky  dappled"
kirikiriteu,6,Churchill/Roussel,soft  gray  tufa  ground  down  with
kiriputiti,5,Churchill/Roussel,id.
hakakite,4,Churchill/Roussel,"to  declare,  to  disclose,  to  note,"
kiteke,3,Churchill/Roussel,consumption.
kiukiu,4,Churchill/Roussel,"to  resound,  to  ring,  sonorous,  bell,"
kikiu,3,Churchill/Roussel,"to  ring,  the  squeaking  of  rats."
hakakiukiu,6,Churchill/Roussel,to  ring.
kivakiva,4,Churchill/Roussel,united.
kukumu,3,Churchill/Roussel,"kivakiva,  doumess."
hakakiva,4,Churchill/Roussel,"to  smooth,  serious."
hakakivakiva,6,Churchill/Roussel,"to  smooth,   to   starch,"
rori,2,Churchill/Roussel,"te  koa  hogihogi,  to  follow  a  scent."
koa,2,Churchill/Roussel,joy.
koakoa,4,Churchill/Roussel,"joy,  content,  happiness,  gay,"
hakakoakoa,6,Churchill/Roussel,"to  rejoice,  to  leap  for  joy."
koe,2,Churchill/Roussel,not  (korc).
kohau,3,Churchill/Roussel,shaft  of  a  lance.
kohe,2,Churchill/Roussel,"vave  kai  kohe,  inaccessible."
kohu,2,Churchill/Roussel,"shade,  shadow,  fog,  haze,  coming  rain."
kohukohu,4,Churchill/Roussel,"cloud,     cloudy,     somber,"
hakakohu,4,Churchill/Roussel,"to  shade,  a  visor."
tniro,2,Churchill/Roussel,"kohukohu,  bush,  thicket."
koiro,3,Churchill/Roussel,eel  T.
kokekoke,4,Churchill/Roussel,to  be  lame.
kokotna,3,Churchill/Roussel,"hanohano,  spite,  to  despise,  to"
kokorna,3,Churchill/Roussel,"hanohano    manava   pohi,    to"
kokope,3,Churchill/Roussel,to  throw  down;  clubfooted.
kokoro,3,Churchill/Roussel,"to  widen,  to  expand."
komari,3,Churchill/Roussel,pudenda.     (Cf.  mamari.)
komaru,3,Churchill/Roussel,stand  up!     T.
komokomo,4,Churchill/Roussel,to  stop  up  tight.
kokomo,3,Churchill/Roussel,"to  plug,  bung."
konakona,4,Churchill/Roussel,"rippling,  shining  surface."
hakakonakona,6,Churchill/Roussel,"to  make  mild,  a  favo-"
konee,3,Churchill/Roussel,"awkwardness,  clumsiness."
konui,3,Churchill/Roussel,far  T.
koo,2,Churchill/Roussel,"mai  salutation;  good  morning,  good"
kopikopi,4,Churchill/Roussel,to  clean  the  hands.
hakakopi,4,Churchill/Roussel,to  take  sides  secretly.
hinge,2,Churchill/Roussel,"or  joint,  from  which,  by  neglect  of"
kopu,2,Churchill/Roussel,"heart,  breast,  paunch,  belly,  entrails."
korae,3,Churchill/Roussel,"pararaha,  wide  brow."
hakakore,4,Churchill/Roussel,"to  annul,  to  nullify,  to  anni-"
koreha,3,Churchill/Roussel,"eel,  worm."
korereki,4,Churchill/Roussel,hiccoughs.
koroiti,4,Churchill/Roussel,"slowly,  gently,  gradually,  carefully,"
tito,2,Churchill/Roussel,"koroiti,  to  save,  steward."
hakakoroiti,6,Churchill/Roussel,"to  moderate,  to  slacken."
korokoro,4,Churchill/Roussel,to  clack  the  tongue  (kurukuru).
koromaki,4,Churchill/Roussel,pine  T.
koroua,4,Churchill/Roussel,"decrepit,  old  age,  worn  with  age."
korua,3,Churchill/Roussel,you.
na,1,Churchill/Roussel,"korua,  ta  korua,  yours."
kotaki,3,Churchill/Roussel,calm.
kotikoti,4,Churchill/Roussel,to  tear.
kokoti,3,Churchill/Roussel,"to  cut,  to  chop,  to  hew,  to  cleave,"
koto,2,Churchill/Roussel,mai  to  bring  T.
kotokoto,4,Churchill/Roussel,hemorrhage.     (Cf.  kutoto.)
kototi,3,Churchill/Roussel,sea  bass  T  (kodoti  T).
koumi,3,Churchill/Roussel,"arero  koumi,  to  report,  to  tell."
kumi,2,Churchill/Roussel,in  the  sense  of  long  tongue  might
koura,3,Churchill/Roussel,"i  fry,  spawn,  roe."
ku,1,Churchill/Roussel,verb  sign.
hakaku,3,Churchill/Roussel,to  groan.
kua,2,Churchill/Roussel,demonstrative.
kiia,3,Churchill/Roussel,"tau  te  tnoa,  the  hen  roosts."
kuapu,3,Churchill/Roussel,issue.
kui,2,Churchill/Roussel,to  see  T.
kuia,3,Churchill/Roussel,booby  (bird)  T.
kuikui,4,Churchill/Roussel,to  stagger.
kukuo,3,Churchill/Roussel,snail.
kumara,3,Churchill/Roussel,sweet  potato.
kume,2,Churchill/Roussel,"to  pull  out,  to  extirpate,  to  extract,  to"
pahu,2,Churchill/Roussel,"kumi,  closet."
hakakumi,4,Churchill/Roussel,to  lengthen.
kumu,2,Churchill/Roussel,"to  draw  back,  to  withdraw."
kunekune,4,Churchill/Roussel,blond.
kupu,2,Churchill/Roussel,times.
kura,2,Churchill/Roussel,"tutui  kura,  shawl."
kurakura,4,Churchill/Roussel,"fair,  light."
hakakurakura,6,Churchill/Roussel,to  make  to  blush.
kuri,2,Churchill/Roussel,cat  (kooU  T).
kurukuru,4,Churchill/Roussel,to  clack  the  tongue  (korokoro).
kuto,2,Churchill/Roussel,a  swift  canoe.
kutokuto,4,Churchill/Roussel,"froth,  foam,  bubbles,  to  strangle"
kukuto,3,Churchill/Roussel,"froth,  foam."
kutoto,3,Churchill/Roussel,to  make  bloody;  to  melt  (cf.  kotokoto).
kutu,2,Churchill/Roussel,louse.
hakama,3,Churchill/Roussel,"shame,  confusion,   timid,  to"
maa,2,Churchill/Roussel,"art,   experience,  competency,  power,"
hakamaa,4,Churchill/Roussel,"to  teach,  to  advise,  to  in-"
maaa,3,Churchill/Roussel,"e  maaa,  inexperienced."
maamaa,4,Churchill/Roussel,"light,    portable,    easily,    com-"
hakamaamaa,6,Churchill/Roussel,"to  alleviate,  to  comfort,"
maamaaki,5,Churchill/Roussel,evident.
maaua,4,Churchill/Roussel,thine.
mae,2,Churchill/Roussel,"to  fade,  to  wither,  stunted  fruit."
maeha,3,Churchill/Roussel,"light,  brightness;  to  shine,  to  be"
maehamaeha,6,Churchill/Roussel,bright.
hakamaeha,5,Churchill/Roussel,to  brighten.
maemae,4,Churchill/Roussel,soft.
mahaa,3,Churchill/Roussel,"obsidian  T  (?  makaa,  maka)."
mahana,3,Churchill/Roussel,"ke,  suffocating."
hakamahana,5,Churchill/Roussel,"to  heat,  to  scald,  to  warm"
mahani,3,Churchill/Roussel,"habit,   custom,   to   accustom,   to"
hakamahani,5,Churchill/Roussel,to  tame.
mahara,3,Churchill/Roussel,"to  be  in  rapture,  ecstasy."
maharo,3,Churchill/Roussel,"to  glorify,  to  flatter,  to  admire,  to"
mahiahia,5,Churchill/Roussel,"dry,  aridity."
hakamahia,5,Churchill/Roussel,to  expose  to  the  air.
mahina,3,Churchill/Roussel,the  moon.
mahiti,3,Churchill/Roussel,cancer.
mai,2,Churchill/Roussel,"ill,  sick."
maikuku,4,Churchill/Roussel,"finger    nail,    claw,    spur,    talon"
maikao,4,Churchill/Roussel,"and  mitikao,  a  claw,  although  the"
maira,3,Churchill/Roussel,on  the  contrary.
maitakia,5,Churchill/Roussel,clean.
maka,2,Churchill/Roussel,"maka  motu,  a  rock  T."
makemakenu,5,Churchill/Roussel,to  warp.
makenu,3,Churchill/Roussel,attentively  (mekenu).
makenukenu,5,Churchill/Roussel,"to  move,  to  stir."
maki,2,Churchill/Roussel,"a  boil,  a  sore  (mamaki)."
makohe,3,Churchill/Roussel,tropic  bird.
makoikoi,5,Churchill/Roussel,kidney  T.
makona,3,Churchill/Roussel,"satiated,  to  be  drunk,  to  quench,"
rakerake,4,Churchill/Roussel,"makona,  crapulous."
hakamakona,5,Churchill/Roussel,"comfort,  comfortable,  to"
makota,3,Churchill/Roussel,"ambition,  jealousy."
makuo,3,Churchill/Roussel,cheek.
makupuna,4,Churchill/Roussel,"descendant,  grandson,  progeny."
mama,2,Churchill/Roussel,"to  leak,  to  ooze,  (maamaa)."
hakamama,4,Churchill/Roussel,"to  yawn,  to  gape,  to  be  ajar."
hakamamae,5,Churchill/Roussel,to  make  ill.
mamahi,3,Churchill/Roussel,"to  bet,  to  wager,  to  guess,  to  cast"
mamaki,3,Churchill/Roussel,distress  (maki).
mamara,3,Churchill/Roussel,"to  sparkle,  to  flash."
mamari,3,Churchill/Roussel,egg  (of  fowl  or  fish)  (gamamari).
mamoi,3,Churchill/Roussel,sheep.
mana,2,Churchill/Roussel,"power,  influence."
hakamana,4,Churchill/Roussel,miracle.
manana,3,Churchill/Roussel,to  skip.
manua,3,Churchill/Roussel,"tahaga,  to  suppose."
hakamanau,5,Churchill/Roussel,pathetic.
meniri,3,Churchill/Roussel,"ko  manava,  little  finger."
manavai,4,Churchill/Roussel,brain.
maniri,3,Churchill/Roussel,"chilly,  cold."
mano,2,Churchill/Roussel,i.ooc  R;  lo.ooo  T.
manu,2,Churchill/Roussel,bird.
manuoau,5,Churchill/Roussel,foul  smelling  smoke.
maoa,3,Churchill/Roussel,to  clear  up  (of  the  sky).
riva,2,Churchill/Roussel,"maoa,  correct."
maoamaoa,6,Churchill/Roussel,to  thank.
mapahiva,4,Churchill/Roussel,diamond.
maraka,3,Churchill/Roussel,"bristly,  shaggy."
marama,3,Churchill/Roussel,"light,  day,  brightness,  to  glimmer;"
hakamarama,5,Churchill/Roussel,"school,  to  glimmer."
maramarama,5,Churchill/Roussel,bright.
mare,2,Churchill/Roussel,to  have  a  cold.
marere,3,Churchill/Roussel,"to  break,    to    run    aground,    ship-"
takaure,4,Churchill/Roussel,"marere  ke,  swarm  of  flies."
hakamarere,5,Churchill/Roussel,"to  destroy,  to  demolish,"
hakamarererere,7,Churchill/Roussel,to  crumble.
marie,3,Churchill/Roussel,"calm,  fair  weather,  unruffled  sea."
vat,1,Churchill/Roussel,"marie,  still  water."
marikuru,4,Churchill/Roussel,ash-wood  T.
mariri,3,Churchill/Roussel,discolored  (meriri).
maruaki,4,Churchill/Roussel,"appetite,   desire  to  eat,   greedy,"
hakamaruaki,6,Churchill/Roussel,to  starve.
marumaru,4,Churchill/Roussel,"shade,   thicket,   somber,   um-"
hakamaru,4,Churchill/Roussel,to  cover  with  shade.
hakamarumaru,6,Churchill/Roussel,to  shade.
hakamata,4,Churchill/Roussel,to  make  a  net.
pupura,3,Churchill/Roussel,"mataara,  projecting  eyes."
riki,2,Churchill/Roussel,with  ariki  is  not  uncommon  in
mataee,4,Churchill/Roussel,sleepiness.
matahakah,4,Churchill/Roussel,"i re  to  consider  ( ?  -hira,  cf .  ira  2) ."
matahakahiva,6,Churchill/Roussel,to  look  back  (/ra  2).
matahakakekeva,7,Churchill/Roussel,to  look  aside.
matahi,3,Churchill/Roussel,age.
mataika,4,Churchill/Roussel,pearl.
matamataika,6,Churchill/Roussel,id.
matakeva,4,Churchill/Roussel,"blind,  one-eyed."
matakekeva,5,Churchill/Roussel,"to  look  sidcwise,  to  dazzle."
matakevakeva,6,Churchill/Roussel,"sleepy,  drowsy."
hakamatakeva,6,Churchill/Roussel,"to  shade  the  view,  to"
mataki,3,Churchill/Roussel,"open,  to  expand,  to  clear  up   (of"
mataku,3,Churchill/Roussel,"alarm,    fear,    cowardice,    terror,"
matakua,4,Churchill/Roussel,terrified.
hakamataku,5,Churchill/Roussel,"to  alarm,  affright,  scare,"
matanevaneva,6,Churchill/Roussel,"drowsy,  sleepy."
matapea,4,Churchill/Roussel,tattooing  on  the  body.
matapo,3,Churchill/Roussel,"blind,  one-eyed."
matapupura,5,Churchill/Roussel,"spy,  to  keep  the  eyes  on  one"
mataputi,4,Churchill/Roussel,chubby  cheeks.
matariki,4,Churchill/Roussel,"ynaea  matariki,  stone  used  for  the"
hakamatatoa,6,Churchill/Roussel,"to   drill,  to   discipline,"
matau,3,Churchill/Roussel,right.
hakamatau,5,Churchill/Roussel,"to  discipUine,  to  drill,  to"
mataui,4,Churchill/Roussel,"a  raro,  modest,  modesty."
hakamate,4,Churchill/Roussel,to  kill.
matemate,4,Churchill/Roussel,"to  have  a  slight  illness,  to  suffer"
matoru,3,Churchill/Roussel,"thick,  bushy."
matorutoru,5,Churchill/Roussel,"thick,  opaque;  not  com-"
hakamatoru,5,Churchill/Roussel,to  stock.
hakamatorutoru,7,Churchill/Roussel,to  thicken.
matou,3,Churchill/Roussel,we.
tnatu,2,Churchill/Roussel,"let  us  go,  to  be  ready  to  go."
matua,3,Churchill/Roussel,chronic.
te,1,Churchill/Roussel,"mau  tagata,  a  collective  use."
mati,2,Churchill/Roussel,"no,  stable."
pena,2,Churchill/Roussel,"hakamau,  bridle."
maua,3,Churchill/Roussel,at  last.
maumau,4,Churchill/Roussel,a  step.
mauoko,4,Churchill/Roussel,immovable.
maute,3,Churchill/Roussel,paper  mulberry  (mahute  Q).
mauteki,4,Churchill/Roussel,to  assure.
mautini,4,Churchill/Roussel,"pumpkin,  gourd,  squash."
moni,2,Churchill/Roussel,"meamea,  gold."
pua,2,Churchill/Roussel,"ei  meamea,  to  make  yellow."
hakameamea,6,Churchill/Roussel,"to    redden,    to    make"
ra,1,Churchill/Roussel,"mea,  to  belong."
hakamea,4,Churchill/Roussel,"to  prepare,  to  make  ready."
meemee,4,Churchill/Roussel,"to  plot,  to  intrigue."
meemeea,5,Churchill/Roussel,contemptible.
hakamee,4,Churchill/Roussel,"irony,  sarcasm,  war  song,  to"
hakameemee,6,Churchill/Roussel,"to  blaspheme,  disdain,"
meika,3,Churchill/Roussel,banana.
meitaki,4,Churchill/Roussel,"good,  agreeable,  efficacious,  excel-"
hakameitaki,6,Churchill/Roussel,"to  make  good,  to  amend,"
tetaki,3,Churchill/Roussel,is  clear  evidence  that  taki  is  a  stem.
matai,3,Churchill/Roussel,good.
mene,2,Churchill/Roussel,thumb  Q.
menia,3,Churchill/Roussel,adulterer.
tekeo,3,Churchill/Roussel,"meniri,    to  cool,  to  chill."
merita,3,Churchill/Roussel,merit.
tnerone,3,Churchill/Roussel,melon
meta,2,Churchill/Roussel,the  mass  {messe).
meua,3,Churchill/Roussel,hopeless.
paa,2,Churchill/Roussel,"migomigo,  sterile."
mihimihi,4,Churchill/Roussel,"fine  rain,  to  drizzle,  sleet,  thick"
mikamika,4,Churchill/Roussel,curly.
mi,1,Churchill/Roussel,"mi  urine,  to  make  water."
mimiro,3,Churchill/Roussel,"compass,  to  roll  one  over  another,"
minemine,4,Churchill/Roussel,"to  consider,  to  make  signs"
mini,2,Churchill/Roussel,to  carry  one's  head  high.
minuta,3,Churchill/Roussel,minute  of  time.
miramira,4,Churchill/Roussel,"to  shake,  to  perplex,  tangled."
hakamiramira,6,Churchill/Roussel,to  perplex.
mirimiri,4,Churchill/Roussel,curly.
miripau,4,Churchill/Roussel,testes  T  (maripu).
miroahi,4,Churchill/Roussel,firebrand.
tniterio,4,Churchill/Roussel,mystery.
mitimiti,4,Churchill/Roussel,to  clack  the  tongue.
mitinare,4,Churchill/Roussel,missionary.
mitutika,4,Churchill/Roussel,the  lip  Q.
mo,1,Churchill/Roussel,for  (moo).
pu,1,Churchill/Roussel,"moo  naa,  hiding-place   (hole  for"
moahu,3,Churchill/Roussel,to  aid.
moaua,4,Churchill/Roussel,hibiscus.
hakamoe,4,Churchill/Roussel,"to  brood,  to  fold  the  wings;"
moea,3,Churchill/Roussel,"moea  raruga,  lying  flat."
moeaivi,5,Churchill/Roussel,thin.
moemata,4,Churchill/Roussel,to  sleep  with  the  eyes  open.
moemoea,5,Churchill/Roussel,"a  dream,  vision."
variant,3,Churchill/Roussel,mogo.
mohai,3,Churchill/Roussel,"idol,  image,  sculpture,  statue  (moai"
mohimohi,4,Churchill/Roussel,"level,  to  level."
hakamohi,4,Churchill/Roussel,"stem,  serious,  grave."
mokimoki,4,Churchill/Roussel,"lenitive,  emollient."
moko,2,Churchill/Roussel,lizard.
mokohi,3,Churchill/Roussel,"grain,  full-grown  berry  (mokoi)."
mokoimokoi,6,Churchill/Roussel,"heart  T,  kidney."
mokomoko,4,Churchill/Roussel,"sharp,  pointed,  slender,  cape,"
moku,2,Churchill/Roussel,bunch  grass  T  (mouku).
momomomo,4,Churchill/Roussel,"niho    momomomo,    decayed"
mooka,3,Churchill/Roussel,to  implant.
mooku,3,Churchill/Roussel,mine.
morava,3,Churchill/Roussel,"to  catch,  to  have,  to  conquer,  to"
more,2,Churchill/Roussel,"rent,  fracture,  to  break."
moremore,4,Churchill/Roussel,to  divide  into  bits.
moremorepua,6,Churchill/Roussel,to  pick  flowers.
mori,2,Churchill/Roussel,oil.
motare,3,Churchill/Roussel,clock.
motiho,3,Churchill/Roussel,land  fog.
motiotio,5,Churchill/Roussel,"ragi  motiotio,  sky  streaked  with"
momotu,3,Churchill/Roussel,to  cut  up.
motuhaua,5,Churchill/Roussel,archipelago.
moturauri,5,Churchill/Roussel,south  wind  T.
mou,2,Churchill/Roussel,to  get  (mau).
hakamou,4,Churchill/Roussel,id.
moumou,4,Churchill/Roussel,"e  ko  moumou,  indissoluble."
moua,3,Churchill/Roussel,"enough,  past  (mou,  mouga)."
tua,2,Churchill/Roussel,"mouga,  mountain  top."
mouku,3,Churchill/Roussel,"grass,  hay,  straw,  herb,  vegetable"
moukuhiva,5,Churchill/Roussel,couchgrass.
mounu,3,Churchill/Roussel,"bait,  lure."
mova,2,Churchill/Roussel,marshmallow  T  (mauve).
mu,1,Churchill/Roussel,"huhuru  wm,  woolly  R  (probably  an  abbre-"
mua,2,Churchill/Roussel,"the  front,  that  which  comes  foremost."
muko,2,Churchill/Roussel,to  announce.
muraki,3,Churchill/Roussel,to  bury  T.
muri,2,Churchill/Roussel,"the  rear,  that  which  comes  last."
tnutone,3,Churchill/Roussel,"sheep,  mutton."
naa,2,Churchill/Roussel,"to  hide,  to  conceal,  occult,  secret."
naanaa,4,Churchill/Roussel,secretly.
hakanaa,4,Churchill/Roussel,"to  hide,  clandestine,  secret,"
naaku,3,Churchill/Roussel,mine.
naana,3,Churchill/Roussel,his.
naau,3,Churchill/Roussel,yours.
nainai,4,Churchill/Roussel,point  of  a  lance.
nako,2,Churchill/Roussel,"fat,  grease,  lard,  marrow,  tallow."
nam,1,Churchill/Roussel,"u nam  u  I  to  chew,  to  devour,  to  lap  up,"
namunamu,4,Churchill/Roussel,to  yelp.
nanai,3,Churchill/Roussel,spider.
nanenane,4,Churchill/Roussel,sweetness.
nape,2,Churchill/Roussel,to  name.
naponapo,4,Churchill/Roussel,"handsome,  bright,  to  shine,  to"
hakanaponapo,6,Churchill/Roussel,"to  amend,  to  better,  to"
natura,3,Churchill/Roussel,"nature,  essence  of  god."
nave,2,Churchill/Roussel,"manti  nave,  great  abscess."
neanea,4,Churchill/Roussel,"rimamatua  neanea,  thumb."
tai,2,Churchill/Roussel,"negonego,  tide."
nehe,2,Churchill/Roussel,odor.
nehenehe,4,Churchill/Roussel,"fern,  moss."
nehu,2,Churchill/Roussel,"obscure,  cloudy."
hakanehu,4,Churchill/Roussel,to  disguise.
hakanenehu,5,Churchill/Roussel,serious.
nei,2,Churchill/Roussel,"here,  this."
hakaneinei,6,Churchill/Roussel,to  purge.
neinei,4,Churchill/Roussel,"to  squeeze,  to  press."
aneira,4,Churchill/Roussel,"nei,  soon,"
neku,2,Churchill/Roussel,"nekii  ravatotouti,  agile."
nekuneku,4,Churchill/Roussel,to  grate.
nemonemo,4,Churchill/Roussel,"independent,  independence."
hakaneenee,6,Churchill/Roussel,physician.
nenenene,4,Churchill/Roussel,intestines  T.
nenere,3,Churchill/Roussel,weak.
nieue,4,Churchill/Roussel,snow  (neige).
nihinihi,4,Churchill/Roussel,obtuse.
tuaivi,4,Churchill/Roussel,"nihinihi,  hunchback."
ninihi,3,Churchill/Roussel,surge  of  the  sea.
hakamanavanihinihi,9,Churchill/Roussel,indigestion.
nihotete,4,Churchill/Roussel,"to  gnash  the  teeth,"
nikoniko,4,Churchill/Roussel,tortuous.
ninaa,3,Churchill/Roussel,terrific.
nini,2,Churchill/Roussel,dysentery.
nininini,4,Churchill/Roussel,"to  flow,  to  fall  into,  diarrhea,"
hakanininini,6,Churchill/Roussel,"to  water,  to  pass  any"
niniko,3,Churchill/Roussel,garland.
niniro,3,Churchill/Roussel,garland.
nira,2,Churchill/Roussel,needle.
nire,2,Churchill/Roussel,virgin.
nironiro,4,Churchill/Roussel,garbage.
niu,2,Churchill/Roussel,"coconut,  palm,  spinning  top."
niuhi,3,Churchill/Roussel,shark  T  (ninki  T).
nivaniva,4,Churchill/Roussel,"absurd,  stupidity,  bungler,  deli-"
hakanivaniva,6,Churchill/Roussel,"queer,  bewitched,  stupe-"
noa,2,Churchill/Roussel,intensive.
uru,2,Churchill/Roussel,"noa,  to  enter  deeply."
ntou,2,Churchill/Roussel,"noa,  to  endure."
nohea,3,Churchill/Roussel,where?
hakanoho,4,Churchill/Roussel,"to  abolish,  to  rent,  to  lease,"
hakanohohia,6,Churchill/Roussel,stopped.
nohookotahi,6,Churchill/Roussel,isolated.
hakanohookotahi,8,Churchill/Roussel,id.
nohoturi,4,Churchill/Roussel,"to  kneel,  genuflexion."
nohue,3,Churchill/Roussel,ape-fish  T.
noi,2,Churchill/Roussel,"to  bend  down  toward  the  ground,  to  bow"
hakanoi,4,Churchill/Roussel,to  prostrate  oneself.
nokinoki,4,Churchill/Roussel,concave.
noku,2,Churchill/Roussel,mine.
nokunoku,4,Churchill/Roussel,throat.
noma,2,Churchill/Roussel,succulent.
nomanoma,4,Churchill/Roussel,"delicate,  sweet,  a  dainty."
nonoi,3,Churchill/Roussel,"to  implore,  to  beg  from  house  to"
noona,3,Churchill/Roussel,him.
nuehine,4,Churchill/Roussel,old  woman.
nui,2,Churchill/Roussel,"grave,  serious."
hakanui,4,Churchill/Roussel,"to  grow,  to  enlarge,  to  aug-"
nuia,3,Churchill/Roussel,to  prosper.
nuinui,4,Churchill/Roussel,"great,  large."
nuinuia,5,Churchill/Roussel,to  grow.
hakanuinui,6,Churchill/Roussel,to  amplify.
nunui,3,Churchill/Roussel,"great,  considerable,  plump,  enor-"
hakanunui,5,Churchill/Roussel,to  exaggerate.
nunu,2,Churchill/Roussel,thin.
nunupaka,4,Churchill/Roussel,id.
nuu,2,Churchill/Roussel,bile.
oa,2,Churchill/Roussel,"oa  atikea,  ignorant,  not  to  know."
oaha,3,Churchill/Roussel,actual.
oeoe,4,Churchill/Roussel,to  be  lame.
ohiohio,5,Churchill/Roussel,"whirlwind,  waterspout."
ohititika,5,Churchill/Roussel,to  go  in  various  directions.
hakaoho,4,Churchill/Roussel,"to  send,  a  messenger."
tnei,2,Churchill/Roussel,"nei  tehe  i  oho  mai  ai  incite  ikapotu,"
ohoa,3,Churchill/Roussel,"ku  ohoa,  absence,  to  keep  out  of  the"
ohu,2,Churchill/Roussel,"a  cry,  a  call,  to  speak  in  loud  tones,"
ohuohu,4,Churchill/Roussel,"to  applaud,  a  distant  sound."
oi,2,Churchill/Roussel,"to  approach,  draw  near."
hakaoi,4,Churchill/Roussel,to  toss  about.
oka,2,Churchill/Roussel,"digging  stick,  stake,  joist;  to  prick,  to"
okaoka,4,Churchill/Roussel,"a  fork,  to  prick,  to  dig."
okahia,4,Churchill/Roussel,to  prick.
oko,2,Churchill/Roussel,"ke,  considerable,  hard  to  under-"
okooko,4,Churchill/Roussel,ke  important.
omo,2,Churchill/Roussel,"rima  omo.  infidelity,  faithless,  unfaith-"
omoomo,4,Churchill/Roussel,"to  smack  the  lips,  to  suck  the"
hakaomoomo,6,Churchill/Roussel,"to  suckle,  to  pant."
oohia,4,Churchill/Roussel,absurd.
ooku,3,Churchill/Roussel,mine.
oona,3,Churchill/Roussel,his.
puo,2,Churchill/Roussel,"ei  oone,  to  daub."
oonea,4,Churchill/Roussel,dirty  T.
ooneoone,6,Churchill/Roussel,sandy.
oonevai,5,Churchill/Roussel,clay  T.
hakaoone,5,Churchill/Roussel,"to  pollute,  to  soil."
ootu,3,Churchill/Roussel,to  cook.
hakaootu,5,Churchill/Roussel,to  cook  in  an  oven.
oou,3,Churchill/Roussel,"you,  thou."
