headword,syllables,source,gloss
ava,2,Churchill/Roussel,"poto,  a  short  distance."
avaava,4,Churchill/Roussel,"angle,  chink."
avahi,3,Churchill/Roussel,"a  wedge,  to  split."
hinihini,4,Churchill/Roussel,"ke  avai,  ancient."
ika,2,Churchill/Roussel,"ke  avai  mo,  abuse."
kori,2,Churchill/Roussel,"ke  avai,  abuse."
pipiro,3,Churchill/Roussel,"ke  avai,  disgusting  odor."
tupu,2,Churchill/Roussel,"ke  avai,  of  rapid  growth."
ua,2,Churchill/Roussel,"ke  avai,  a  shower,  long  and  heavy"
avaitahi,5,Churchill/Roussel,"partial,  partiality."
avava,3,Churchill/Roussel,"to  throw,  to  hurl."
averi,3,Churchill/Roussel,to  warn.
ina,2,Churchill/Roussel,e  negative  sign.
raa,2,Churchill/Roussel,"ea  mai,  the  sun  rises."
eaho,3,Churchill/Roussel,fishing  line.
eanuhe,4,Churchill/Roussel,caterpillar.
eeriki,4,Churchill/Roussel,carpet.
eete,3,Churchill/Roussel,"anger,  horror;  detestable,  hideous,  hor-"
kokoma,3,Churchill/Roussel,"eete,  to  abhor,  to  detest,  angry,"
eteete,4,Churchill/Roussel,emotion.
eheeuroroa,7,Churchill/Roussel,frightful.
ehu,2,Churchill/Roussel,firebrand.
ehuehu,4,Churchill/Roussel,"brown,  brownish."
ehuhu,3,Churchill/Roussel,to  set  in  motion.
ehutai,4,Churchill/Roussel,a  wave.
ei,2,Churchill/Roussel,"by  means  of,  with."
miti,2,Churchill/Roussel,"ei  girigapea,  to  dry  with  a  sponge."
hirohiroa,5,Churchill/Roussel,"ei  vai,  diluted  with  water."
ekaeka,4,Churchill/Roussel,"soft  to  the  touch,  ductility,  glairy,"
kiri,2,Churchill/Roussel,"ekaeka,  leprous."
hakaekaeka,6,Churchill/Roussel,"to  soften,  to  loosen."
ekapua,4,Churchill/Roussel,mouldy.
piro,2,Churchill/Roussel,"ekapua,  wormeaten."
eke,2,Churchill/Roussel,"trestle,  stilt;  to  mount  a  horse,  to  go"
hakaeke,4,Churchill/Roussel,"to  cause  to  mount,  to  carry  on"
hakaeki,4,Churchill/Roussel,"to  howl,  to  yell."
ekieki,4,Churchill/Roussel,"languor,  to  make  tender."
emu,2,Churchill/Roussel,"to  leak,  to  drown,  to  founder."
hakaemu,4,Churchill/Roussel,to  submerge.
ena,2,Churchill/Roussel,"there,  behold."
enemi,3,Churchill/Roussel,enemy.
hakaeo,4,Churchill/Roussel,to  perfume.
epe,2,Churchill/Roussel,ear  Q.
epeveo,4,Churchill/Roussel,ear-ring.
epikopo,4,Churchill/Roussel,bishop  (episcopus).
era,2,Churchill/Roussel,that.
eteni,3,Churchill/Roussel,"heathen,  idolater,  pagan."
etereno,4,Churchill/Roussel,eternal.
etu,2,Churchill/Roussel,tribe.
etua,3,Churchill/Roussel,god  (atua).
hahumuhumu,5,Churchill/Roussel,"etua,  revelation."
hakaetua,5,Churchill/Roussel,to  deify.
eua,3,Churchill/Roussel,sceptre.
euai,4,Churchill/Roussel,"to  train,  to  break  in."
eukaritia,6,Churchill/Roussel,eucharist.
eva,2,Churchill/Roussel,"to  be  delirious,  to  rave,  absurd  (eheva,"
hakahiti,4,Churchill/Roussel,"ki  te  eeve,  to  show  the  but-"
pupuhi,3,Churchill/Roussel,"eve,  syringe."
okio,3,Churchill/Roussel,"gagau,  the  bit  of  a  bridle."
nmta,1,Churchill/Roussel,"gorigori,  lantern-jawed."
tapa,2,Churchill/Roussel,"guregure,  calico."
ha,1,Churchill/Roussel,"to  yawn,  to  gape."
unahi,3,Churchill/Roussel,"hakaha,  to  scale  fish."
haavare,4,Churchill/Roussel,"cunning,  guile."
hakahae,4,Churchill/Roussel,to  slander.
tuhi,2,Churchill/Roussel,"ki  te  haga,  to  give  employment."
hearken,3,Churchill/Roussel,favorably.
noho,2,Churchill/Roussel,"hakahaga,  apathy."
tiaki,3,Churchill/Roussel,"haha,  porter,  doorkeeper."
hahae,3,Churchill/Roussel,to  walk  with  legs  wide  open.
maroa,3,Churchill/Roussel,"hahaga,  to  measure  lands,  to"
hahao,3,Churchill/Roussel,"a  measure,  to  measure."
hahari,3,Churchill/Roussel,to  comb.
hahi,2,Churchill/Roussel,package.
hahie,3,Churchill/Roussel,firewood.
vehie,3,Churchill/Roussel,reproduces  the  Tongan  fefie.  Mr.
hahunnihuviu,6,Churchill/Roussel,"ttua,  revelation."
hakahahumuhumu,7,Churchill/Roussel,tc  insinuate.
hai,2,Churchill/Roussel,to  carry.
haipo,3,Churchill/Roussel,heart.
hakahaka,4,Churchill/Roussel,to  dance  T.
hakari,3,Churchill/Roussel,"coconut    (in   Christian's   ""Eastern"
haki,2,Churchill/Roussel,certainly.
hakura,3,Churchill/Roussel,to  pinch.
haniae,4,Churchill/Roussel,outrigger.
hamoni,3,Churchill/Roussel,"fold,  crease,  hem  (aamoni)."
hanau,3,Churchill/Roussel,to  be  bom.
vie,2,Churchill/Roussel,"hanau,  midwife."
hanehane,4,Churchill/Roussel,"maea  hanehane,  black  and  red"
hakahanehane,6,Churchill/Roussel,to  be  roused  to  wrath.
hanu,2,Churchill/Roussel,aid  T.
hanuanua,5,Churchill/Roussel,meamea  rainbow.
hapai,3,Churchill/Roussel,"to  lift,  to  raise,  to  elevate,  to  embark,"
hapaihakahoua,8,Churchill/Roussel,to  report.
hapaitari,5,Churchill/Roussel,to  import.
hara,2,Churchill/Roussel,"error,  mistake,  oversight,  wrong;  to"
manau,3,Churchill/Roussel,"hara,  illusion."
toua,3,Churchill/Roussel,"hara,  discussion  without  knowing"
haraoa,4,Churchill/Roussel,"flour,  bread,  paste,  wheat."
viokohi,4,Churchill/Roussel,"haraoa,  grain."
hare,2,Churchill/Roussel,"house,  cabin,  habitation,  building,  hut,"
harepepe,4,Churchill/Roussel,"kelp.     Cf.  Chap.  V,  2657."
harepopo,4,Churchill/Roussel,shed.
harepopokai,6,Churchill/Roussel,storehouse.
hari,2,Churchill/Roussel,"to  bring,  to  bring  back,  to  fetch,  to"
hariu,3,Churchill/Roussel,"to  turn  aside,  to  turn  the  back,  to  turn"
hariua,4,Churchill/Roussel,to  be  converted.
hakahariu,5,Churchill/Roussel,"to  change,  to  turn  about."
haroharo,4,Churchill/Roussel,"to  point,  to  limp."
haruharu,4,Churchill/Roussel,"to  rob,  to  steal,   to  arrest,   to"
hakahatahata,6,Churchill/Roussel,"to  loo.sen,  to  stretch."
hatahata,4,Churchill/Roussel,"calm,  loose,  prolix,  vast."
hati,2,Churchill/Roussel,"to  strike,  to  break,  to  peel  off  bark;"
tumu,2,Churchill/Roussel,"hatihati,  weak  in  the  legs."
hakahati,4,Churchill/Roussel,to  persuade.
hatipu,3,Churchill/Roussel,slate.
hatuhatu,4,Churchill/Roussel,to  deform.
hakarere,4,Churchill/Roussel,"ki  te  hau,  to  take  off  the  hat."
hakaritorito,6,Churchill/Roussel,"ki  te  hau,  to  bleach  in  the"
hakahahau,5,Churchill/Roussel,to  hang  out  in  the  air.
hakaahau,5,Churchill/Roussel,to  blow.
haua,3,Churchill/Roussel,hoarse.
hauhau,4,Churchill/Roussel,dog  (onomatopoetic).
hauii,4,Churchill/Roussel,to  replace.
hauva,3,Churchill/Roussel,"twin,  cut  T."
he,1,Churchill/Roussel,article.
hea,2,Churchill/Roussel,where?
heatua,4,Churchill/Roussel,population  T.
nianava,4,Churchill/Roussel,"tagi  ki  te  heguigui,  studious."
hehehehe,4,Churchill/Roussel,"clay,  muddy,  damp."
hei,2,Churchill/Roussel,garland.
hemahia,4,Churchill/Roussel,umbrella  T.
heniati,4,Churchill/Roussel,"dead  T,  hemati  Q  (?  he  mate)."
henua,3,Churchill/Roussel,"land,  country,  region  (heenua)."
hernia,3,Churchill/Roussel,"tumu,  native  land."
ni,1,Churchill/Roussel,"vanua,  id."
moa,2,Churchill/Roussel,"herea,  a  trussed  fowl."
hehere,3,Churchill/Roussel,"collar,  necklet."
hakahere,4,Churchill/Roussel,"ki  te  ika,  to  avenge."
hakahererua,6,Churchill/Roussel,"to  exchange,  to  avenge."
hereo,3,Churchill/Roussel,button  T  (?  he  veo).
herepo,3,Churchill/Roussel,ice  plant  T.
herohero,4,Churchill/Roussel,"scarlet,  suffocating  T."
ura,2,Churchill/Roussel,"herohero,  brilliance  of  flames."
heru,2,Churchill/Roussel,leg  T  Q.
heruheru,4,Churchill/Roussel,rake.
heruru,3,Churchill/Roussel,to  calk  (cf.  uru  i).
hetu,2,Churchill/Roussel,star  (heetuu).
hetuke,3,Churchill/Roussel,sea  urchin.
hakaheu,4,Churchill/Roussel,"spade,  to  shovel,  to  grub  up,"
hi,1,Churchill/Roussel,to  angle.
hihi,2,Churchill/Roussel,to  have  a  cold.
hia,2,Churchill/Roussel,"e  hia,  how  many?"
hakahia,4,Churchill/Roussel,to  turn  the  stomach.
hiahia,4,Churchill/Roussel,to  saw.
hihihihi,4,Churchill/Roussel,"to  lace,  to  twist;  eyebrow."
hakahihi,4,Churchill/Roussel,to  cross  the  legs.
tutae,3,Churchill/Roussel,"hihi,  constipation."
momore,3,Churchill/Roussel,"hihi,  to  injure,  to  damage."
hihiri,3,Churchill/Roussel,difficult  to  reach.
hiho,2,Churchill/Roussel,to  come.
hakahihoi,5,Churchill/Roussel,id.
hihoi,3,Churchill/Roussel,"to  turn  into,  to  transform."
hiihii,4,Churchill/Roussel,to  laugh.
hika,2,Churchill/Roussel,a  netting  needle  Q.
hiki,2,Churchill/Roussel,tail  fin  Q  (?  hiku)
hikohiko,4,Churchill/Roussel,keke  hide-and-seek.
hikuvera,4,Churchill/Roussel,brown  T.
himene,3,Churchill/Roussel,"hymn,  song,  to  sing."
hakahinihini,6,Churchill/Roussel,"to  delay,  to  postpone,"
hio,2,Churchill/Roussel,to  grasp.
kia,2,Churchill/Roussel,"hio,  to  arrest."
hakahio,4,Churchill/Roussel,"to  attach,  to  fix,  to  force,  to"
hiohio,4,Churchill/Roussel,"steel  (cf.  ohio,  iho  4)."
hipa,2,Churchill/Roussel,"to  incline,  to  lean,  to  deviate,  to  slope;"
hipahipa,4,Churchill/Roussel,to  inchne.
hipotati,4,Churchill/Roussel,hypostasis.
hipu,2,Churchill/Roussel,"calabash,  shell,  cup,  jug,  goblet,  pot,"
hira,2,Churchill/Roussel,"to  turn  the  eyes  away,  to  leer."
hakahira,4,Churchill/Roussel,"maki  hakahira,  squint-eyed."
