side,lag,observed,shuffled_mean,z
Er,45,0.0580,0.0299,2.95
Er,46,0.0240,0.0306,-0.59
Er,47,0.0447,0.0311,1.22
Er,48,0.0414,0.0296,1.17
Er,49,0.0242,0.0298,-0.57
Er,50,0.0382,0.0299,0.91
Er,51,0.0279,0.0306,-0.28
Er,52,0.0175,0.0302,-1.25
Er,53,0.0070,0.0299,-2.35
Er,54,0.0141,0.0298,-1.68
Er,55,0.0212,0.0317,-1.09
Er,56,0.0390,0.0324,0.62
Er,57,0.0285,0.0304,-0.18
Er,58,0.0464,0.0308,1.53
Er,59,0.0430,0.0311,1.23
Er,60,0.0252,0.0307,-0.51
Ev,1,0.0487,0.0247,2.76
Ev,2,0.1107,0.0249,9.33
Ev,3,0.0654,0.0237,4.99
Ev,4,0.0787,0.0245,6.11
Ev,5,0.0263,0.0251,0.16
Ev,6,0.0561,0.0251,3.78
Ev,7,0.0364,0.0240,1.55
Ev,8,0.0598,0.0238,3.85
Ev,9,0.0367,0.0247,1.42
Ev,10,0.0301,0.0227,0.91
Ev,11,0.0503,0.0231,3.13
Ev,12,0.0202,0.0252,-0.55
Ev,13,0.0574,0.0236,4.05
Ev,14,0.0305,0.0240,0.74
Ev,15,0.0272,0.0252,0.23
Ev,16,0.0410,0.0251,1.64
Ev,17,0.0103,0.0242,-1.53
Ev,18,0.0172,0.0241,-0.89
Ev,19,0.0414,0.0251,1.72
Ev,20,0.0173,0.0240,-0.80
Ev,21,0.0312,0.0244,0.79
Ev,22,0.0279,0.0243,0.41
Ev,23,0.0140,0.0247,-1.27
Ev,24,0.0140,0.0245,-1.14
Ev,25,0.0211,0.0244,-0.37
Ev,26,0.0247,0.0234,0.15
Ev,27,0.0319,0.0250,0.76
Ev,28,0.0036,0.0249,-2.32
Ev,29,0.0286,0.0238,0.58
Ev,30,0.0215,0.0228,-0.17
Ev,31,0.0216,0.0244,-0.28
Ev,32,0.0397,0.0250,1.66
Ev,33,0.0181,0.0248,-0.82
Ev,34,0.0327,0.0237,0.92
Ev,35,0.0401,0.0229,1.84
Ev,36,0.0147,0.0241,-1.25
Ev,37,0.0478,0.0251,2.42
Ev,38,0.0185,0.0250,-0.67
Ev,39,0.0333,0.0230,1.12
Ev,40,0.0483,0.0240,2.74
Ev,41,0.0299,0.0244,0.60
Ev,42,0.0075,0.0232,-1.80
Ev,43,0.0376,0.0241,1.52
Ev,44,0.0264,0.0242,0.24
Ev,45,0.0341,0.0239,1.10
Ev,46,0.0190,0.0248,-0.63
Ev,47,0.0382,0.0244,1.43
Ev,48,0.0230,0.0238,-0.09
Ev,49,0.0154,0.0237,-0.83
Ev,50,0.0193,0.0241,-0.51
Ev,51,0.0388,0.0242,1.52
Ev,52,0.0195,0.0236,-0.47
Ev,53,0.0234,0.0249,-0.16
Ev,54,0.0275,0.0239,0.37
Ev,55,0.0315,0.0247,0.79
Ev,56,0.0198,0.0239,-0.47
Ev,57,0.0119,0.0250,-1.43
Ev,58,0.0159,0.0244,-1.00
Ev,59,0.0160,0.0243,-0.87
Ev,60,0.0281,0.0249,0.34
Gr,1,0.0168,0.0325,-1.33
Gr,2,0.0970,0.0331,6.00
Gr,3,0.0805,0.0320,4.56
