side_a,side_b,shared_signs,cross_side_penalty,control_penalty_thickened
I,Pv,34,0.0194,0.0214
Er,Hv,22,0.0194,0.0248
Ev,Pv,19,0.0195,0.0243
Ca,Kr,4,0.0199,0.0263
Gv,Ra,12,0.0200,0.0255
Ab,Pv,30,0.0201,0.0238
Hv,Ra,17,0.0203,0.0270
Gv,Hr,14,0.0204,0.0228
Br,Hv,21,0.0204,0.0273
Ab,Hv,35,0.0205,0.0245
Bv,Hv,36,0.0207,0.0248
Ev,Qr,14,0.0209,0.0265
Ev,Ra,12,0.0212,0.0289
Er,Rb,9,0.0214,0.0280
Gr,Qv,11,0.0217,0.0286
Na,Pr,6,0.0219,0.0212
Hv,I,39,0.0222,0.0276
Br,Bv,22,0.0222,0.0249
Ca,Gv,14,0.0223,0.0296
Aa,Hr,33,0.0224,0.0252
Na,Pv,7,0.0227,0.0222
Hr,Ra,17,0.0229,0.0312
Er,I,24,0.0231,0.0272
Aa,Sa,11,0.0234,0.0258
Bv,Er,21,0.0234,0.0280
Ev,Gv,11,0.0242,0.0352
Aa,Hv,31,0.0245,0.0270
Qv,Sa,11,0.0246,0.0257
Cb,Gv,8,0.0252,0.0329
Aa,Ca,20,0.0255,0.0295
Ev,Hv,24,0.0255,0.0304
I,Sa,15,0.0262,0.0297
Gv,Hv,15,0.0265,0.0301
Gr,Hv,14,0.0266,0.0295
Bv,Ca,25,0.0269,0.0295
Na,Sa,6,0.0273,0.0232
Aa,Er,16,0.0274,0.0304
Aa,Na,5,0.0276,0.0260
Br,Sa,7,0.0282,0.0293
Ca,I,28,0.0283,0.0313
Ab,Sa,14,0.0286,0.0320
Ev,I,28,0.0291,0.0340
Gv,Na,4,0.0292,0.0268
Ab,Er,19,0.0298,0.0327
Bv,Sa,16,0.0308,0.0342
Gr,Hr,14,0.0309,0.0327
Er,Sa,8,0.0313,0.0325
Ev,Na,6,0.0321,0.0315
Bv,Na,7,0.0323,0.0323
Er,Gv,12,0.0327,0.0379
Hr,Na,6,0.0332,0.0347
Aa,Ev,16,0.0345,0.0407
Ev,Sa,12,0.0351,0.0406
Er,Na,6,0.0416,0.0449
