side,line,position,head,height,width,stroke_px,stroke_ratio,density
Da,Da02,14,006,105,62,4.56,0.0435,0.278
Da,Da03,2,610,126,33,4.93,0.0391,0.33
Da,Da03,4,200,128,130,4.14,0.0324,0.115
Da,Da03,5,600,128,131,4.72,0.0368,0.158
Da,Da03,6,002,96,60,4.03,0.042,0.179
Da,Da03,7,200,125,177,4.18,0.0334,0.207
Da,Da03,8,600,121,102,4.72,0.039,0.219
Da,Da03,9,460,115,87,4.87,0.0424,0.274
Da,Da03,10,200,127,159,4.54,0.0358,0.208
Da,Da03,11,600,123,129,4.33,0.0352,0.219
Da,Da03,12,200,125,176,4.18,0.0335,0.126
Da,Da03,13,200,127,124,3.83,0.0302,0.18
Da,Da03,14,600,128,201,3.64,0.0284,0.173
Da,Da04,2,700,130,37,4.45,0.0343,0.294
Da,Da04,3,207,123,146,3.15,0.0256,0.096
Da,Da04,4,007,115,105,3.18,0.0276,0.129
Da,Da04,5,002,103,44,3.8,0.0369,0.193
Da,Da04,6,700,117,52,3.95,0.0338,0.23
Da,Da04,7,073,119,102,3.66,0.0307,0.194
Da,Da04,9,002,110,76,3.78,0.0343,0.164
Da,Da04,10,073,117,111,4.32,0.0369,0.217
Da,Da04,11,590,126,129,4.8,0.0381,0.188
Da,Da04,12,204,125,134,4.41,0.0352,0.227
Da,Da04,13,034,122,112,4.63,0.038,0.246
Da,Da04,14,360,119,106,4.63,0.0389,0.203
Da,Da07,2,094,98,100,4.63,0.0472,0.213
Da,Da07,3,081,81,113,4.61,0.0569,0.225
Da,Da07,4,450,67,55,4.97,0.0742,0.213
Da,Da07,5,536,115,348,4.77,0.0415,0.155
Da,Da07,6,739,109,307,4.81,0.0441,0.16
Da,Da07,7,061,102,220,4.4,0.0431,0.156
Da,Da07,8,590,115,232,3.93,0.0342,0.155
Da,Da07,9,607,116,179,3.77,0.0325,0.168
Da,Da07,10,200,119,92,3.85,0.0324,0.204
Da,Da07,11,739,112,194,4.21,0.0376,0.145
Da,Da07,12,610,98,253,3.96,0.0404,0.117
Db,Db03,0,383,121,121,3.97,0.0328,0.14
Db,Db03,1,383,130,150,4.06,0.0312,0.168
Db,Db03,2,013,136,174,4.13,0.0303,0.166
Db,Db03,3,001,130,102,4.16,0.032,0.21
Db,Db03,4,001,125,113,3.44,0.0276,0.165
Db,Db03,5,007,136,152,3.27,0.0241,0.137
Db,Db03,6,004,136,103,3.67,0.027,0.162
Db,Db03,7,004,130,117,3.51,0.027,0.165
Db,Db03,8,002,125,45,3.28,0.0263,0.139
Db,Db03,9,002,111,56,3.23,0.0291,0.146
Db,Db03,10,280,145,281,3.66,0.0253,0.175
Db,Db03,12,093,126,108,3.17,0.0252,0.143
Db,Db04,0,741,126,232,3.77,0.03,0.144
Db,Db04,1,630,121,62,4.12,0.0341,0.175
Db,Db04,2,050,129,56,4.46,0.0345,0.258
Db,Db04,3,050,111,42,3.86,0.0348,0.241
Db,Db04,5,700,133,205,3.9,0.0293,0.152
Db,Db04,6,700,128,195,3.29,0.0257,0.153
Db,Db04,7,240,126,194,3.48,0.0276,0.156
Db,Db04,8,240,111,48,3.08,0.0278,0.123
Db,Db04,9,022,129,89,3.38,0.0262,0.16
Db,Db04,10,007,135,109,4.39,0.0325,0.171
Db,Db04,11,600,124,135,4.21,0.0339,0.173
Db,Db04,12,007,118,78,4.32,0.0366,0.182
Db,Db06,0,244,127,198,3.83,0.0302,0.138
Db,Db06,1,006,95,80,3.76,0.0396,0.132
Db,Db06,2,009,103,98,3.68,0.0358,0.132
Db,Db06,3,044,108,58,3.12,0.0289,0.14
Db,Db06,4,608,118,189,4.28,0.0363,0.166
Db,Db06,6,007,128,96,3.62,0.0283,0.18
Db,Db06,7,600,128,146,3.68,0.0288,0.13
Db,Db06,8,007,133,91,3.33,0.0251,0.18
Db,Db06,10,200,123,176,3.77,0.0307,0.138
Db,Db06,11,093,133,97,4.32,0.0325,0.158
Db,Db06,12,009,120,73,3.55,0.0296,0.102
Er,Er01,1,630,7,17,2.06,0.2936,0.21
Er,Er01,2,004,30,22,3.83,0.1275,0.177
Er,Er01,3,739,49,47,6.97,0.1422,0.267
Er,Er01,4,200,50,20,4.72,0.0944,0.305
Er,Er01,5,063,39,84,8.39,0.215,0.352
Er,Er01,6,208,44,105,5.47,0.1243,0.284
Er,Er01,7,200,43,41,4.27,0.0992,0.301
Er,Er01,8,005,52,86,4.67,0.0899,0.295
Er,Er01,9,040,42,14,3.55,0.0845,0.376
Er,Er01,10,041,45,65,4.2,0.0934,0.358
Er,Er01,11,300,43,77,4.5,0.1047,0.333
Er,Er01,12,300,46,67,4.39,0.0955,0.295
Er,Er01,13,004,42,55,3.99,0.095,0.328
Er,Er01,14,022,46,134,4.67,0.1015,0.263
Er,Er01,15,206,41,45,3.78,0.0921,0.313
Er,Er01,16,086,48,16,4.03,0.0839,0.44
Er,Er01,17,722,44,61,3.9,0.0887,0.263
Er,Er01,18,040,38,41,3.74,0.0983,0.32
Er,Er01,19,300,39,72,3.94,0.1009,0.319
Er,Er01,20,300,42,55,3.96,0.0944,0.33
Er,Er01,21,300,35,62,4.13,0.118,0.325
Er,Er01,22,004,33,86,4.9,0.1485,0.357
Er,Er01,23,022,43,55,4.68,0.1088,0.32
Er,Er01,24,201,39,25,4.55,0.1168,0.35
Er,Er01,25,061,39,22,4.86,0.1245,0.424
Er,Er01,26,063,35,14,5.52,0.1578,0.596
Er,Er01,27,063,23,15,4.86,0.2112,0.397
Er,Er01,28,040,37,17,6.57,0.1776,0.474
Er,Er01,29,040,32,12,4.38,0.1367,0.432
Er,Er01,30,300,31,83,3.98,0.1285,0.334
Er,Er02,0,203,37,44,3.32,0.0897,0.217
Er,Er02,1,063,53,20,4.44,0.0838,0.361
Er,Er02,2,670,55,50,4.61,0.0837,0.313
Er,Er02,3,063,53,29,3.98,0.075,0.316
Er,Er02,4,670,56,59,4.85,0.0867,0.343
Er,Er02,5,001,60,50,4.9,0.0816,0.38
Er,Er02,6,062,55,33,4.78,0.0869,0.5
Er,Er02,7,041,41,17,6.36,0.1551,0.552
Er,Er02,8,300,41,17,6.28,0.1532,0.593
Er,Er02,9,040,39,12,6.54,0.1676,0.788
Er,Er02,10,300,44,65,5.52,0.1254,0.467
Er,Er02,11,004,45,17,4.81,0.1068,0.492
Er,Er02,12,022,45,47,5.56,0.1235,0.464
Er,Er02,13,203,50,66,6.29,0.1259,0.458
Er,Er02,14,001,51,17,5.86,0.115,0.603
Er,Er02,15,203,58,77,5.24,0.0903,0.405
Er,Er02,16,016,34,28,5.62,0.1654,0.226
Er,Er02,17,203,60,59,5.11,0.0851,0.486
Er,Er02,18,070,56,19,4.96,0.0886,0.523
Er,Er02,19,063,60,30,5.56,0.0927,0.5
Er,Er02,20,118,54,17,5.39,0.0998,0.584
Er,Er02,21,040,58,39,5.57,0.0961,0.551
Er,Er02,22,300,55,16,6.87,0.1249,0.583
Er,Er02,23,040,61,35,7.45,0.1221,0.493
Er,Er02,24,300,60,40,4.67,0.0778,0.507
Er,Er02,25,004,56,64,4.96,0.0885,0.362
Er,Er02,26,022,52,26,5.95,0.1145,0.437
Er,Er02,27,203,58,15,5.51,0.095,0.685
Er,Er02,28,004,58,19,4.21,0.0726,0.505
Er,Er02,29,203,59,60,5.96,0.101,0.491
Er,Er02,30,063,58,52,6.7,0.1155,0.531
Er,Er02,31,203,57,43,5.67,0.0995,0.49
Er,Er02,32,044,56,66,6.12,0.1093,0.451
Er,Er02,33,203,57,28,5.59,0.098,0.451
Er,Er02,34,063,55,58,6.58,0.1196,0.364
Er,Er02,35,670,48,12,9.79,0.204,0.623
Er,Er02,36,040,52,13,5.12,0.0984,0.515
Er,Er02,37,040,45,43,6.66,0.1479,0.351
Er,Er02,38,300,50,34,6.59,0.1317,0.452
Er,Er02,39,004,46,11,7.08,0.1539,0.706
Er,Er02,40,022,48,13,6.94,0.1445,0.55
Er,Er03,0,203,54,33,4.85,0.0899,0.337
Er,Er03,1,005,53,24,5.15,0.0972,0.555
Er,Er03,2,678,56,29,4.82,0.0861,0.384
Er,Er03,3,063,56,37,8.25,0.1473,0.534
Er,Er03,4,002,54,40,8.46,0.1566,0.52
Er,Er03,5,123,53,26,5.96,0.1124,0.439
Er,Er03,6,063,48,14,7.41,0.1545,0.756
Er,Er03,7,003,56,59,6.53,0.1166,0.38
Er,Er03,8,063,52,18,5.07,0.0975,0.454
Er,Er03,9,063,54,13,7.18,0.133,0.707
Er,Er03,10,041,59,42,7.16,0.1214,0.547
Er,Er03,11,040,57,43,6.7,0.1176,0.479
Er,Er03,12,300,54,66,7.05,0.1306,0.527
Er,Er03,13,004,55,62,7.96,0.1448,0.567
Er,Er03,14,022,55,66,7.13,0.1297,0.518
Er,Er03,15,203,57,21,6.56,0.1151,0.566
Er,Er03,16,060,50,16,9.15,0.183,0.681
Er,Er03,17,063,23,18,5.15,0.2239,0.575
Er,Er03,18,001,54,14,8.92,0.1652,0.734
Er,Er03,19,063,54,30,4.91,0.091,0.379
Er,Er03,20,430,55,51,5.88,0.1069,0.538
Er,Er03,21,431,54,43,5.31,0.0983,0.397
Er,Er03,22,203,54,68,5.97,0.1106,0.447
Er,Er03,23,562,55,62,5.37,0.0977,0.447
Er,Er03,24,063,56,27,4.91,0.0878,0.383
Er,Er03,25,048,54,30,5.29,0.0979,0.416
Er,Er03,26,063,52,26,5.25,0.101,0.402
Er,Er03,27,071,55,65,4.51,0.082,0.453
Er,Er03,28,041,54,19,4.64,0.086,0.475
Er,Er03,29,041,50,18,5.15,0.1029,0.477
Er,Er03,30,300,58,48,5.57,0.0961,0.48
Er,Er03,31,004,58,48,5.41,0.0932,0.443
Er,Er03,32,022,56,56,5.03,0.0898,0.479
Er,Er03,33,203,55,58,5.72,0.1039,0.435
Er,Er03,34,022,45,65,6.99,0.1553,0.478
Er,Er03,35,022,35,11,7.8,0.2228,0.829
Er,Er03,36,063,37,23,6.83,0.1845,0.492
Er,Er03,37,041,33,14,10.14,0.3073,0.716
Er,Er03,38,063,29,19,7.43,0.2562,0.648
Er,Er04,0,385,55,32,6.75,0.1227,0.511
Er,Er04,1,040,52,22,5.81,0.1117,0.546
Er,Er04,2,300,54,80,5.68,0.1051,0.428
Er,Er04,3,300,54,83,5.1,0.0945,0.401
Er,Er04,4,004,56,71,5.46,0.0975,0.451
Er,Er04,5,022,29,18,6.28,0.2164,0.602
Er,Er04,6,520,56,80,5.49,0.0981,0.396
Er,Er04,7,005,55,36,5.32,0.0967,0.489
Er,Er04,8,386,56,34,5.14,0.0918,0.472
Er,Er04,9,013,51,49,5.0,0.098,0.421
Er,Er04,10,008,55,86,5.58,0.1015,0.375
Er,Er04,11,405,51,54,5.46,0.107,0.484
Er,Er04,12,670,44,18,5.59,0.127,0.438
Er,Er04,13,053,53,26,5.69,0.1074,0.433
Er,Er04,14,002,56,70,5.69,0.1016,0.447
Er,Er04,15,002,56,31,5.98,0.1068,0.433
Er,Er04,16,739,54,35,4.78,0.0886,0.459
Er,Er04,17,027,56,39,6.68,0.1193,0.444
Er,Er04,18,739,54,30,7.35,0.1361,0.467
Er,Er04,19,006,56,34,5.63,0.1005,0.386
Er,Er04,20,090,50,52,5.29,0.1058,0.444
Er,Er04,21,004,55,61,6.18,0.1123,0.467
Er,Er04,22,022,54,64,6.61,0.1223,0.491
Er,Er04,23,305,54,69,6.92,0.1282,0.488
Er,Er04,24,004,57,57,5.69,0.0999,0.486
Er,Er04,25,048,54,28,5.59,0.1035,0.519
Er,Er04,26,007,58,38,4.16,0.0718,0.39
Er,Er04,27,001,56,14,4.62,0.0825,0.62
Er,Er04,28,191,57,67,5.74,0.1007,0.542
Er,Er04,29,520,58,72,6.31,0.1088,0.402
Er,Er04,30,007,56,39,4.62,0.0825,0.453
Er,Er04,31,380,58,67,5.07,0.0873,0.484
Er,Er04,32,721,60,43,5.23,0.0872,0.505
Er,Er04,33,415,60,74,5.42,0.0903,0.464
Er,Er04,34,074,50,22,6.44,0.1287,0.453
Er,Er04,35,526,55,58,5.04,0.0916,0.336
Er,Er04,36,001,52,16,8.74,0.1681,0.636
Er,Er05,0,204,58,48,6.22,0.1073,0.438
Er,Er05,1,001,47,13,6.67,0.1419,0.589
Er,Er05,2,005,52,27,5.84,0.1123,0.478
Er,Er05,3,204,52,53,5.34,0.1028,0.5
Er,Er05,4,009,48,27,8.21,0.1711,0.493
Er,Er05,5,005,49,30,7.89,0.1611,0.527
Er,Er05,6,204,53,58,6.53,0.1231,0.518
Er,Er05,7,005,52,34,7.54,0.145,0.463
Er,Er05,8,205,53,66,7.69,0.1451,0.494
Er,Er05,9,005,45,31,7.5,0.1667,0.544
Er,Er05,10,205,57,59,8.55,0.15,0.548
Er,Er05,11,001,47,14,6.24,0.1328,0.761
Er,Er05,12,049,55,25,7.61,0.1383,0.54
Er,Er05,13,005,51,30,7.01,0.1375,0.542
Er,Er05,14,205,56,60,8.32,0.1486,0.578
Er,Er05,15,700,53,22,6.75,0.1274,0.586
Er,Er05,16,700,56,23,7.0,0.1251,0.562
Er,Er05,17,005,54,32,8.99,0.1664,0.524
Er,Er05,18,001,51,15,6.18,0.1212,0.72
Er,Er05,19,670,56,55,6.85,0.1224,0.466
Er,Er05,20,002,56,31,6.21,0.111,0.475
Er,Er05,21,670,56,54,7.55,0.1349,0.474
Er,Er05,22,002,52,30,6.06,0.1165,0.499
Er,Er05,23,200,54,70,5.31,0.0984,0.459
Er,Er05,24,431,53,43,5.39,0.1017,0.414
Er,Er05,25,002,46,24,5.09,0.1106,0.534
Er,Er05,26,200,52,60,5.18,0.0996,0.488
Er,Er05,27,206,54,65,5.23,0.0969,0.429
Er,Er05,28,001,53,16,6.22,0.1173,0.607
Er,Er05,29,206,54,70,5.36,0.0992,0.482
Er,Er05,30,048,53,38,5.37,0.1014,0.378
Er,Er05,31,004,55,62,4.99,0.0907,0.394
Er,Er05,32,022,55,61,5.25,0.0954,0.408
Er,Er05,33,300,56,69,5.32,0.095,0.433
Er,Er05,34,300,56,64,4.78,0.0854,0.441
Er,Er05,35,300,57,88,5.63,0.0987,0.444
Er,Er05,36,300,56,87,5.5,0.0982,0.423
Er,Er05,37,200,54,99,5.01,0.0927,0.462
Er,Er05,38,017,48,19,5.46,0.1138,0.552
Er,Er05,39,053,32,28,4.16,0.1301,0.444
Er,Er05,41,004,49,40,4.65,0.0949,0.292
Er,Er06,0,022,55,38,5.98,0.1086,0.486
Er,Er06,1,739,58,35,5.37,0.0925,0.552
Er,Er06,2,300,58,49,5.65,0.0975,0.433
Er,Er06,3,739,55,38,5.54,0.1008,0.464
Er,Er06,4,300,58,43,5.95,0.1026,0.492
Er,Er06,5,300,58,93,5.42,0.0934,0.466
Er,Er06,6,430,58,35,5.54,0.0955,0.468
Er,Er06,7,300,58,62,5.25,0.0905,0.464
Er,Er06,8,430,58,27,5.5,0.0948,0.437
Er,Er06,9,008,54,40,5.69,0.1053,0.503
Er,Er06,10,300,61,66,5.48,0.0898,0.357
Er,Er06,11,049,53,31,5.18,0.0978,0.374
Er,Er06,12,200,58,77,5.96,0.1028,0.468
Er,Er06,13,206,56,54,5.75,0.1028,0.429
Er,Er06,14,004,53,30,6.0,0.1132,0.451
Er,Er06,15,022,56,62,6.38,0.1139,0.486
Er,Er06,16,200,56,42,5.34,0.0954,0.449
Er,Er06,17,280,58,26,5.52,0.0951,0.496
Er,Er06,18,770,60,54,6.29,0.1049,0.505
Er,Er06,19,450,55,25,7.87,0.1431,0.506
Er,Er06,20,730,55,57,7.09,0.129,0.514
Er,Er06,21,450,55,20,6.86,0.1248,0.615
Er,Er06,22,730,58,64,7.58,0.1306,0.538
Er,Er06,23,450,57,29,7.63,0.1339,0.658
Er,Er06,24,407,54,50,7.18,0.133,0.435
Er,Er06,25,450,57,28,5.11,0.0897,0.554
Er,Er06,26,608,57,27,5.5,0.0965,0.428
Er,Er06,27,450,58,19,4.92,0.0848,0.528
Er,Er06,28,680,58,70,5.11,0.0882,0.464
Er,Er06,29,040,55,12,4.32,0.0786,0.542
Er,Er06,30,040,55,14,4.82,0.0876,0.6
Er,Er06,31,300,58,68,7.11,0.1227,0.513
Er,Er06,32,004,59,52,5.49,0.093,0.487
Er,Er06,33,022,54,47,4.63,0.0858,0.389
Er,Er06,34,204,58,55,4.5,0.0775,0.406
Er,Er06,35,711,56,23,4.66,0.0831,0.344
Er,Er06,36,711,58,17,5.05,0.0871,0.584
Er,Er06,37,700,57,20,5.01,0.0878,0.52
Er,Er07,1,053,11,13,3.17,0.2883,0.413
Er,Er07,2,022,10,10,3.62,0.3622,0.48
Er,Er07,3,022,43,18,4.2,0.0977,0.366
Er,Er07,4,076,51,20,5.56,0.109,0.399
Er,Er07,5,022,54,22,7.23,0.1339,0.495
Er,Er07,6,022,54,18,4.56,0.0845,0.418
Er,Er07,7,092,47,33,8.14,0.1732,0.551
Er,Er07,8,050,55,46,5.6,0.1018,0.561
Er,Er07,9,670,56,70,6.22,0.111,0.389
Er,Er07,10,092,57,48,8.08,0.1417,0.482
Er,Er07,11,050,54,52,7.8,0.1444,0.609
Er,Er07,12,670,54,76,6.2,0.1149,0.434
Er,Er07,13,092,56,45,6.86,0.1225,0.483
Er,Er07,14,050,56,46,7.5,0.1339,0.548
Er,Er07,15,670,56,53,6.81,0.1216,0.506
Er,Er07,16,002,43,32,7.49,0.1742,0.59
Er,Er07,17,670,54,55,7.05,0.1305,0.51
Er,Er07,18,002,51,29,7.35,0.1441,0.55
Er,Er07,19,670,52,59,7.29,0.1402,0.476
Er,Er07,20,002,41,25,5.08,0.124,0.587
Er,Er07,21,027,48,36,5.46,0.1137,0.529
Er,Er07,22,027,55,35,5.95,0.1083,0.566
Er,Er07,23,420,54,81,5.77,0.1069,0.412
Er,Er07,24,200,53,87,5.82,0.1098,0.503
Er,Er07,25,608,56,67,5.3,0.0946,0.364
Er,Er07,26,205,51,52,5.64,0.1105,0.49
Er,Er07,27,019,49,21,5.11,0.1043,0.546
Er,Er07,28,205,49,61,5.57,0.1138,0.455
Er,Er07,29,697,53,65,5.25,0.099,0.498
Er,Er07,30,407,56,75,5.15,0.092,0.388
Er,Er07,31,522,56,56,5.62,0.1004,0.419
Er,Er07,32,002,51,24,5.36,0.1052,0.48
Er,Er07,33,010,56,71,4.67,0.0833,0.355
Er,Er07,34,004,58,74,5.51,0.0951,0.346
Er,Er07,35,022,58,60,6.11,0.1053,0.438
Er,Er07,36,204,51,69,5.18,0.1016,0.405
Er,Er07,37,664,59,86,5.6,0.095,0.35
Er,Er07,38,091,51,36,4.67,0.0916,0.25
Er,Er07,39,008,54,36,4.86,0.0899,0.248
Er,Er07,40,009,41,24,3.68,0.0898,0.155
Er,Er08,2,001,27,32,4.72,0.1749,0.356
Er,Er08,4,004,48,35,6.27,0.1306,0.517
Er,Er08,5,022,56,92,6.37,0.1137,0.341
Er,Er08,6,093,51,61,5.55,0.1088,0.435
Er,Er08,7,069,51,36,6.09,0.1195,0.483
Er,Er08,8,004,56,56,6.0,0.1071,0.497
Er,Er08,9,006,56,60,5.44,0.0972,0.475
Er,Er08,10,206,58,29,5.5,0.0949,0.488
Er,Er08,11,004,56,67,6.08,0.1086,0.482
Er,Er08,12,022,58,66,4.93,0.085,0.388
Er,Er08,13,200,58,103,5.41,0.0932,0.492
Er,Er08,14,400,58,86,5.51,0.0951,0.442
Er,Er08,15,255,57,64,6.81,0.1194,0.508
Er,Er08,16,279,57,61,5.5,0.0966,0.474
Er,Er08,17,010,58,55,5.9,0.1017,0.503
Er,Er08,18,010,58,63,6.61,0.1139,0.569
Er,Er08,19,004,56,77,6.73,0.1201,0.485
Er,Er08,20,022,56,54,7.65,0.1365,0.6
Er,Er08,21,226,56,60,7.91,0.1413,0.611
Er,Er08,22,022,56,20,12.34,0.2204,0.659
Er,Er08,23,670,56,57,6.5,0.1161,0.515
Er,Er08,24,700,56,28,6.75,0.1205,0.521
Er,Er08,25,381,60,50,8.21,0.1369,0.518
Er,Er08,26,079,58,32,8.24,0.1421,0.601
Er,Er08,27,004,56,91,6.24,0.1114,0.433
Er,Er08,28,022,54,76,6.12,0.1133,0.351
Er,Er08,29,011,56,72,5.43,0.0969,0.415
Er,Er08,30,470,58,71,7.29,0.1256,0.357
Er,Er08,31,739,26,17,4.44,0.1706,0.405
Er,Er09,20,004,9,16,3.95,0.439,0.306
Er,Er09,23,755,35,48,6.4,0.1828,0.477
Er,Er09,24,050,33,39,5.61,0.1699,0.423
Er,Er09,25,005,18,18,7.27,0.4037,0.552
Er,Er09,26,037,30,19,6.51,0.2171,0.456
Er,Er09,27,045,34,15,5.82,0.1711,0.612
Er,Er09,28,001,35,44,4.9,0.14,0.45
Er,Er09,29,561,31,71,5.02,0.162,0.453
Er,Er09,30,700,30,36,6.06,0.202,0.599
Er,Er09,31,280,34,16,5.73,0.1686,0.629
Er,Er09,32,001,35,16,7.12,0.2035,0.564
Er,Er09,33,007,35,26,6.03,0.1723,0.568
Ev,Ev01,4,001,15,18,5.13,0.3418,0.563
Ev,Ev01,5,002,21,13,8.65,0.4117,0.784
Ev,Ev01,6,034,32,37,5.74,0.1793,0.258
Ev,Ev01,7,306,36,57,4.19,0.1163,0.156
Ev,Ev01,8,070,36,31,6.43,0.1786,0.421
Ev,Ev01,9,521,42,62,5.42,0.1291,0.278
Ev,Ev01,10,306,35,66,4.57,0.1306,0.329
Ev,Ev01,11,070,35,31,4.87,0.1391,0.29
Ev,Ev01,12,063,36,15,5.12,0.1421,0.574
Ev,Ev01,13,022,34,16,3.74,0.1099,0.482
Ev,Ev01,14,063,32,15,4.52,0.1412,0.425
Ev,Ev01,15,001,32,15,4.52,0.1412,0.425
Ev,Ev01,16,694,34,65,4.69,0.1378,0.35
Ev,Ev01,17,056,33,28,5.06,0.1533,0.278
Ev,Ev01,18,034,35,44,4.15,0.1187,0.35
Ev,Ev01,19,700,34,23,5.26,0.1548,0.51
Ev,Ev01,20,204,37,65,4.84,0.1309,0.36
Ev,Ev01,21,005,38,31,6.35,0.1671,0.457
Ev,Ev01,22,022,39,17,5.57,0.1428,0.543
Ev,Ev01,23,068,42,43,4.91,0.117,0.344
Ev,Ev01,24,073,38,48,4.88,0.1285,0.403
Ev,Ev01,25,005,40,42,4.12,0.1029,0.293
Ev,Ev01,26,079,35,47,3.38,0.0966,0.316
Ev,Ev01,27,079,28,49,4.66,0.1665,0.37
Ev,Ev01,28,300,35,69,3.74,0.107,0.284
Ev,Ev01,29,048,31,80,4.91,0.1583,0.319
Ev,Ev02,0,002,60,60,5.29,0.0882,0.337
Ev,Ev02,1,254,62,107,5.61,0.0905,0.383
Ev,Ev02,2,522,56,49,5.05,0.0902,0.382
Ev,Ev02,3,022,55,18,6.5,0.1182,0.679
Ev,Ev02,4,001,56,49,5.74,0.1025,0.462
Ev,Ev02,5,077,55,8,4.94,0.0898,0.591
Ev,Ev02,6,027,59,12,5.51,0.0934,0.662
Ev,Ev02,7,294,62,82,5.28,0.0852,0.39
Ev,Ev02,8,002,62,66,5.57,0.0898,0.432
Ev,Ev02,9,211,63,56,6.37,0.1011,0.474
Ev,Ev02,10,091,66,77,5.73,0.0868,0.405
Ev,Ev02,11,071,62,26,5.25,0.0846,0.479
Ev,Ev02,12,006,62,40,5.48,0.0884,0.44
Ev,Ev02,13,047,67,203,5.5,0.0821,0.388
Ev,Ev02,14,380,59,30,5.24,0.0887,0.439
Ev,Ev02,15,739,65,76,5.85,0.09,0.356
Ev,Ev02,16,400,64,130,5.51,0.0862,0.38
Ev,Ev02,17,700,66,99,5.17,0.0783,0.347
Ev,Ev02,18,004,66,27,5.38,0.0814,0.371
Ev,Ev02,19,700,67,27,4.53,0.0676,0.363
Ev,Ev02,20,380,66,33,5.81,0.0881,0.429
Ev,Ev02,21,022,61,80,6.31,0.1035,0.399
Ev,Ev02,22,343,63,66,5.63,0.0893,0.426
Ev,Ev02,23,044,64,113,5.6,0.0875,0.414
Ev,Ev02,24,697,62,97,5.54,0.0894,0.394
Ev,Ev02,25,380,62,76,6.35,0.1025,0.451
Ev,Ev02,26,600,62,146,5.11,0.0824,0.301
Ev,Ev02,27,400,61,102,4.22,0.0692,0.231
Ev,Ev02,28,380,61,40,3.2,0.0524,0.219
Ev,Ev03,0,204,60,79,4.77,0.0795,0.24
Ev,Ev03,1,002,57,23,5.05,0.0885,0.331
Ev,Ev03,2,001,59,16,5.37,0.091,0.332
Ev,Ev03,3,007,61,44,5.73,0.0939,0.293
Ev,Ev03,4,326,62,102,5.92,0.0954,0.383
Ev,Ev03,5,380,61,72,6.55,0.1073,0.449
Ev,Ev03,6,070,60,50,5.39,0.0899,0.413
Ev,Ev03,7,040,62,128,5.45,0.0879,0.339
Ev,Ev03,8,290,59,107,6.03,0.1022,0.437
Ev,Ev03,9,062,61,56,5.16,0.0846,0.386
Ev,Ev03,10,009,58,45,5.41,0.0933,0.365
Ev,Ev03,11,062,60,70,6.07,0.1011,0.467
Ev,Ev03,12,001,59,17,5.37,0.0909,0.606
Ev,Ev03,13,006,57,39,4.42,0.0776,0.323
Ev,Ev03,14,001,59,26,5.63,0.0954,0.517
Ev,Ev03,15,006,57,39,4.71,0.0827,0.274
Ev,Ev03,16,670,52,18,4.77,0.0918,0.467
Ev,Ev03,17,091,59,107,5.82,0.0986,0.403
Ev,Ev03,18,380,61,80,4.94,0.0811,0.407
Ev,Ev03,19,007,69,54,5.28,0.0766,0.493
Ev,Ev03,20,067,67,43,4.74,0.0708,0.411
Ev,Ev03,21,067,68,56,5.54,0.0815,0.451
Ev,Ev03,22,001,70,76,4.95,0.0707,0.424
Ev,Ev03,23,670,70,53,5.05,0.0721,0.423
Ev,Ev03,24,580,72,34,5.44,0.0756,0.418
Ev,Ev03,25,380,70,55,4.99,0.0712,0.429
Ev,Ev03,26,245,61,72,5.11,0.0838,0.472
Ev,Ev03,27,004,60,37,5.77,0.0961,0.523
Ev,Ev03,28,380,65,56,5.63,0.0866,0.524
Ev,Ev03,29,022,61,48,5.9,0.0968,0.496
Ev,Ev03,30,063,62,62,6.18,0.0997,0.42
Ev,Ev03,31,380,63,59,6.68,0.106,0.526
Ev,Ev03,32,002,62,28,6.03,0.0973,0.535
Ev,Ev03,33,760,64,67,4.56,0.0712,0.399
Ev,Ev03,34,050,59,20,5.44,0.0921,0.514
Ev,Ev03,35,002,57,26,5.8,0.1018,0.567
Ev,Ev03,36,760,61,60,5.13,0.084,0.422
Ev,Ev03,37,050,48,17,5.49,0.1144,0.6
Ev,Ev03,38,002,51,19,5.98,0.1172,0.418
Ev,Ev04,0,380,43,50,5.35,0.1244,0.369
Ev,Ev04,1,088,49,24,5.96,0.1216,0.486
Ev,Ev04,2,001,43,13,3.83,0.0892,0.535
Ev,Ev04,3,047,50,30,5.39,0.1078,0.417
Ev,Ev04,4,001,61,48,6.2,0.1016,0.423
Ev,Ev04,5,380,58,50,5.23,0.0901,0.505
Ev,Ev04,6,280,60,45,6.68,0.1113,0.509
Ev,Ev04,7,001,57,14,6.02,0.1055,0.713
Ev,Ev04,8,280,60,49,6.35,0.1058,0.504
Ev,Ev04,9,002,57,26,5.2,0.0912,0.497
Ev,Ev04,10,001,61,14,4.77,0.0782,0.687
Ev,Ev04,11,380,65,51,5.53,0.0851,0.511
Ev,Ev04,12,001,61,21,5.04,0.0827,0.553
Ev,Ev04,13,057,57,44,5.85,0.1026,0.444
Ev,Ev04,14,001,59,16,5.48,0.0929,0.606
Ev,Ev04,15,001,58,21,5.24,0.0903,0.524
Ev,Ev04,16,163,58,34,5.18,0.0893,0.47
Ev,Ev04,17,200,59,47,5.01,0.0849,0.463
Ev,Ev04,18,001,56,37,6.18,0.1103,0.493
Ev,Ev04,19,522,59,42,4.91,0.0832,0.443
